開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
中山,1R,12,ロココ,54.0,1位,73.0,1位,73.0,1位
中山,3R,8,ヌクレオチド,57.0,2位,69.0,1位,69.0,1位
中山,3R,14,モーゲンセン,62.0,1位,68.0,2位,68.0,2位
中山,4R,7,チャーリー,76.0,1位,81.0,1位,79.0,1位
中山,7R,7,ニシノエースサマ,84.0,1位,95.0,1位,95.0,1位
中山,8R,9,ライトニングゼウス,81.0,1位,95.0,1位,94.0,1位
中山,8R,14,トニケンサンバ,81.0,2位,92.0,3位,92.0,3位
中山,12R,7,キョウエイカンフ,92.0,1位,100.0,3位,100.0,3位
阪神,1R,7,グロリアス,55.0,1位,67.0,2位,67.0,1位
阪神,5R,3,ヨッシーリオ,65.0,1位,78.0,1位,78.0,1位
阪神,7R,7,カフェノワール,83.0,1位,94.0,2位,86.0,3位
阪神,11R,13,タイセイボーグ,87.0,1位,96.0,2位,96.0,2位
阪神,12R,15,ウルスクローム,91.0,2位,103.0,2位,99.0,1位
小倉,1R,1,ボールドタワー,66.0,1位,75.0,3位,74.0,3位
小倉,1R,14,ロードアマルフィ,65.0,2位,82.0,1位,82.0,1位
小倉,3R,3,ファンシーフリル,73.0,1位,84.0,1位,84.0,1位
小倉,4R,1,ストラクチャー,1000.0,1位,1000.0,1位,1000.0,1位
小倉,4R,2,アナザーエース,1000.0,2位,1000.0,2位,1000.0,2位
小倉,4R,3,ハイウェイスター,1000.0,3位,1000.0,3位,1000.0,3位
小倉,5R,4,ミスターマーボー,78.0,1位,90.0,1位,82.0,2位
小倉,8R,5,ノーブルアクト,82.0,1位,90.0,1位,90.0,1位
小倉,8R,7,カルミアクラウン,80.0,3位,85.0,3位,85.0,2位
小倉,10R,1,カウンターセブン,91.0,3位,104.0,2位,104.0,1位
小倉,10R,18,ヒーローインチーフ,92.0,2位,104.0,3位,104.0,2位
