開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
新潟,4R,3,ツインドライヴ,68.0,2位,65.0,2位,64.0,1位
新潟,4R,5,ヤマタケボニータ,59.0,3位,67.0,1位,56.0,2位
新潟,8R,13,ミエノフェアリー,83.0,3位,94.0,3位,94.0,1位
中京,6R,3,トライアンフパス,90.0,2位,97.0,1位,90.0,2位
中京,6R,4,アイニードユー,92.0,1位,93.0,3位,87.0,3位
中京,7R,3,タイトニット,100.0,2位,113.0,2位,102.0,3位
中京,8R,4,ワイノナオミ,86.0,3位,99.0,2位,99.0,1位
中京,8R,6,ザウリ,90.0,1位,96.0,3位,94.0,3位
中京,10R,6,ロードシュヴァリエ,78.0,3位,90.0,1位,87.0,3位
中京,10R,12,エアフォースワン,82.0,1位,85.0,3位,89.0,2位
中京,11R,4,レッドヴァリアート,87.0,1位,94.0,2位,94.0,2位
中京,11R,6,メイショウナルカミ,72.0,3位,96.0,1位,96.0,1位
札幌,9R,5,パールフロント,87.0,1位,109.0,1位,89.0,2位
札幌,11R,7,ココナッツブラウン,104.0,1位,107.0,1位,105.0,3位
