開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
中山,1R,11,ジャメビュ,65.0,1位,70.0,1位,70.0,1位
中山,7R,7,スリーコーズ,67.0,1位,82.0,2位,82.0,2位
中山,8R,9,クニノハッピー,84.0,1位,96.0,2位,96.0,3位
中山,10R,10,ハッスルダンク,97.0,3位,104.0,3位,103.0,3位
中山,11R,5,ボンドガール,97.0,3位,106.0,3位,105.0,2位
阪神,6R,11,モンサンゴールデン,75.0,1位,91.0,1位,84.0,2位
阪神,7R,1,メイショウオグマ,83.0,1位,87.0,2位,87.0,1位
阪神,7R,8,リリーアロー,80.0,3位,93.0,1位,74.0,3位
阪神,8R,7,ツーエムクロノス,87.0,2位,100.0,1位,100.0,1位
阪神,10R,1,ヤマニンシュラ,95.0,3位,108.0,2位,104.0,2位
阪神,11R,4,ショウナンカリス,83.0,1位,90.0,2位,89.0,2位
