開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
東京,8R,1,クロシェットノエル,92.0,2位,100.0,1位,98.0,2位
東京,10R,2,ナイトアクアリウム,103.0,1位,106.0,2位,106.0,2位
東京,10R,7,ヴァンドーム,103.0,2位,106.0,3位,106.0,3位
東京,12R,4,ゴールドシーン,86.0,3位,96.0,2位,96.0,1位
京都,7R,1,ルクスデイジー,86.0,1位,98.0,1位,98.0,1位
京都,7R,12,ランスオブセヘル,84.0,2位,98.0,2位,98.0,2位
京都,8R,2,レッドバロッサ,1000.0,2位,1000.0,1位,1000.0,1位
京都,9R,15,ダズリングダンス,92.0,1位,100.0,3位,100.0,2位
京都,11R,10,キタノズエッジ,101.0,3位,112.0,2位,112.0,1位
京都,11R,16,ボナンザ,103.0,2位,115.0,1位,108.0,3位
京都,12R,1,デルシエロ,87.0,2位,93.0,3位,101.0,1位
福島,4R,5,ペイシャスウィフト,78.0,2位,85.0,1位,85.0,1位
福島,8R,5,キャンドルマス,81.0,3位,86.0,1位,86.0,1位
福島,8R,7,ブリングライト,85.0,1位,75.0,3位,75.0,3位
福島,9R,5,ジェットブレード,85.0,1位,94.0,3位,94.0,2位
福島,10R,6,ヴァンヴィーヴ,94.0,1位,101.0,1位,101.0,1位
