開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
中山,1R,14,ニシノゲッパク,55.0,1位,70.0,5位,70.0,5位
中山,2R,5,アオハルブルース,55.0,1位,77.0,1位,77.0,1位
中山,3R,1,エコロバロン,61.0,3位,72.0,1位,72.0,1位
中山,3R,2,ライカ,64.0,1位,59.0,5位,61.0,5位
中山,3R,14,トコシエノヒトミ,57.0,4位,69.0,2位,68.0,2位
中山,6R,3,クアッドフォルツァ,61.0,1位,74.0,2位,74.0,2位
中山,7R,1,マリアイリダータ,97.0,1位,99.0,1位,99.0,1位
中山,7R,8,パストラーレ,91.0,2位,98.0,2位,92.0,2位
中山,7R,10,キューティリップ,84.0,4位,89.0,4位,89.0,4位
中山,8R,3,ファルコンミノル,83.0,2位,91.0,3位,86.0,4位
中山,8R,6,ニシノケンタマン,89.0,1位,93.0,1位,93.0,2位
中山,8R,7,インテルメディオ,79.0,5位,87.0,4位,87.0,3位
中山,9R,5,レイヒストリコ,78.0,2位,80.0,1位,80.0,5位
中山,10R,5,サツキノジョウ,87.0,1位,96.0,4位,96.0,3位
中山,11R,7,タイムトゥヘヴン,103.0,1位,111.0,1位,111.0,1位
中山,12R,1,ホウオウプレミア,84.0,4位,93.0,5位,93.0,4位
中山,12R,13,キョウエイカンフ,90.0,1位,100.0,2位,100.0,2位
阪神,1R,5,グロリアス,54.0,1位,67.0,2位,67.0,2位
阪神,2R,1,ジャーナーリア,65.0,1位,75.0,1位,75.0,1位
阪神,2R,14,アニマレイ,62.0,2位,65.0,5位,65.0,5位
阪神,3R,7,ハイビッグゴールド,52.0,1位,63.0,1位,63.0,2位
阪神,6R,2,メイショウゴールド,76.0,5位,91.0,2位,91.0,3位
阪神,6R,4,テーオーミリカン,78.0,4位,84.0,5位,92.0,2位
阪神,7R,4,エイユーファイヤー,76.0,4位,91.0,2位,91.0,1位
阪神,7R,5,アークドール,83.0,1位,94.0,1位,79.0,4位
阪神,8R,1,タガノアンファン,87.0,3位,98.0,2位,98.0,1位
阪神,8R,2,ディアドコス,91.0,1位,100.0,1位,93.0,2位
阪神,8R,8,キントラダンサー,82.0,4位,95.0,5位,85.0,4位
阪神,9R,9,タガノアルトゥーラ,69.0,3位,86.0,2位,86.0,4位
阪神,10R,5,キタノズエッジ,102.0,3位,111.0,4位,111.0,2位
阪神,10R,7,ビダーヤ,105.0,1位,117.0,2位,114.0,1位
阪神,11R,1,ストームサンダー,80.0,1位,93.0,2位,93.0,1位
阪神,12R,3,メイケイレイン,85.0,2位,98.0,2位,98.0,2位
阪神,12R,8,ラヴオントップ,84.0,5位,93.0,4位,93.0,4位
阪神,12R,14,モズタチアガレ,85.0,4位,96.0,3位,96.0,3位
