開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
新潟,4R,10,ジーティーニッツァ,65.0,2位,69.0,2位,69.0,2位
新潟,5R,4,バンオンタイム,76.0,2位,85.0,1位,78.0,3位
新潟,10R,4,リポサンテ,92.0,1位,99.0,2位,86.0,3位
新潟,11R,10,ベルタソ,75.0,3位,83.0,1位,83.0,2位
新潟,12R,7,クリムゾンリーフ,77.0,2位,76.0,2位,76.0,1位
中京,4R,8,クリノリキオー,72.0,1位,75.0,2位,69.0,3位
中京,4R,15,レディトゥフライト,66.0,3位,72.0,3位,70.0,2位
中京,5R,6,ヴィスコンテッサ,85.0,2位,95.0,3位,95.0,2位
中京,8R,5,サンライズブレイク,80.0,1位,84.0,3位,85.0,1位
中京,9R,1,サトノドルチェ,1000.0,1位,1000.0,1位,1000.0,1位
中京,10R,6,ロードファイター,62.0,3位,70.0,3位,59.0,3位
中京,11R,9,メイクワンズデイ,91.0,2位,100.0,2位,100.0,1位
札幌,1R,3,アイビーミャーオ,68.0,2位,87.0,1位,87.0,1位
札幌,3R,5,セラサイト,72.0,3位,80.0,2位,79.0,1位
札幌,6R,6,モルニケ,84.0,2位,91.0,1位,91.0,1位
札幌,6R,9,サンウリエル,85.0,1位,91.0,2位,91.0,2位
札幌,8R,10,ゴールドジェスター,82.0,3位,97.0,1位,86.0,2位
札幌,10R,3,ハイクオリティ,82.0,3位,98.0,1位,88.0,3位
