開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
新潟,5R,3,ゴッドレイ,74.0,1位,84.0,2位,78.0,3位
新潟,7R,5,サダムオプシス,99.0,1位,105.0,1位,98.0,2位
新潟,7R,11,リンフレスカンテ,96.0,3位,101.0,3位,98.0,3位
新潟,10R,6,ロジキセキ,68.0,2位,75.0,1位,75.0,1位
新潟,10R,8,ザンテソーロ,72.0,1位,67.0,3位,67.0,3位
中京,4R,1,キングズテイル,81.0,2位,80.0,2位,80.0,2位
中京,4R,7,セッシュウ,83.0,1位,90.0,1位,90.0,1位
中京,5R,5,タリスマン,82.0,1位,90.0,3位,89.0,2位
中京,6R,2,ペンナヴェローチェ,92.0,3位,102.0,2位,96.0,3位
中京,9R,10,アキノビューティー,69.0,1位,69.0,2位,69.0,1位
中京,10R,8,ゼンノインヴォーク,78.0,2位,93.0,2位,89.0,2位
中京,12R,13,タイセイブロウ,76.0,3位,91.0,2位,94.0,1位
札幌,3R,1,ペガサスウィンド,66.0,3位,84.0,3位,75.0,2位
札幌,4R,16,メイショウローゼ,83.0,1位,87.0,2位,87.0,3位
札幌,8R,5,ユーティジャーニー,86.0,1位,87.0,3位,92.0,1位
札幌,8R,12,ネッタイヤライ,86.0,2位,88.0,2位,88.0,3位
札幌,8R,14,ルクスアドラー,84.0,3位,91.0,1位,91.0,2位
札幌,9R,5,ホウオウバローロ,75.0,3位,98.0,1位,86.0,3位
札幌,9R,8,サマーナイト,82.0,1位,89.0,3位,89.0,1位
札幌,11R,6,エマヌエーレ,94.0,1位,98.0,1位,98.0,1位
