開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
福島,2R,15,クリスタルドレス,81.0,1位,85.0,2位,85.0,1位
福島,3R,13,ベルランコントル,77.0,2位,82.0,3位,82.0,1位
福島,4R,2,アーティラリー,62.0,1位,68.0,1位,68.0,1位
福島,7R,7,ユイノサダハル,69.0,3位,69.0,3位,69.0,2位
福島,9R,3,ヴァンヴィーヴ,91.0,3位,101.0,2位,101.0,1位
福島,9R,6,ヴェントゥーラ,93.0,1位,109.0,1位,94.0,3位
福島,10R,6,コスモイシュタル,90.0,3位,105.0,1位,105.0,1位
福島,10R,8,レッセパッセ,92.0,2位,103.0,2位,103.0,2位
福島,12R,3,ソナタン,77.0,3位,88.0,3位,88.0,3位
小倉,1R,2,スティルシャイニン,1000.0,2位,1000.0,1位,1000.0,1位
小倉,3R,9,エンジェルグラース,62.0,2位,83.0,1位,83.0,1位
小倉,4R,4,レイワノキセキ,76.0,1位,85.0,1位,85.0,1位
小倉,4R,12,ブルーザー,76.0,2位,85.0,2位,83.0,2位
小倉,8R,10,プルミエールパス,82.0,1位,100.0,1位,100.0,1位
小倉,10R,2,メイショウシナノ,90.0,3位,104.0,2位,104.0,2位
小倉,11R,5,エヒト,101.0,1位,111.0,2位,105.0,2位
小倉,12R,1,アウローラシエル,73.0,2位,90.0,2位,86.0,2位
函館,3R,7,キセログラフィカ,72.0,1位,83.0,2位,83.0,2位
函館,3R,11,ホウオウファラオ,67.0,3位,89.0,1位,89.0,1位
函館,4R,7,ギオンバヤシ,81.0,1位,93.0,1位,93.0,1位
函館,6R,1,コスモファーブロス,82.0,1位,97.0,1位,81.0,3位
函館,7R,4,プリンセスアツコ,85.0,1位,92.0,1位,92.0,1位
函館,7R,6,ビーチイン,75.0,3位,87.0,2位,87.0,2位
函館,9R,7,マルカオペラ,88.0,1位,99.0,2位,99.0,1位
函館,10R,7,ジュンラトゥール,89.0,2位,108.0,1位,94.0,2位
函館,12R,3,マグネシアブリック,81.0,3位,97.0,1位,97.0,1位
