開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
東京,6R,8,アオイミズホ,67.0,1位,81.0,1位,81.0,1位
東京,6R,9,ドゥーニ,63.0,2位,70.0,3位,70.0,3位
東京,8R,3,ヴンダーバール,83.0,1位,97.0,1位,97.0,1位
東京,8R,11,プルーヴンウィナー,75.0,2位,87.0,2位,87.0,2位
東京,9R,1,トラストボス,89.0,1位,95.0,2位,95.0,2位
東京,9R,9,サンセットビュー,89.0,2位,100.0,1位,100.0,1位
東京,10R,12,ゴールドスター,88.0,3位,97.0,3位,97.0,3位
東京,10R,17,メイケイバートン,92.0,1位,101.0,1位,101.0,2位
東京,11R,1,ドンレパルス,98.0,1位,107.0,2位,107.0,1位
東京,12R,5,ファンタイムギフト,88.0,1位,100.0,1位,100.0,1位
東京,12R,6,カルフ,78.0,3位,89.0,3位,89.0,3位
阪神,1R,2,キャスケード,57.0,2位,71.0,1位,71.0,1位
阪神,2R,10,ナムラロダン,72.0,2位,78.0,2位,78.0,2位
阪神,2R,15,アルムアポジェ,75.0,1位,87.0,1位,87.0,1位
阪神,3R,4,タントレーベル,59.0,1位,67.0,2位,67.0,3位
阪神,6R,7,リリーサンダー,62.0,2位,77.0,2位,64.0,2位
阪神,9R,3,カフジエメンタール,90.0,1位,96.0,2位,96.0,1位
阪神,10R,1,クリノフィガロ,87.0,2位,98.0,3位,99.0,2位
阪神,11R,8,ミッキーツインクル,101.0,1位,101.0,3位,99.0,2位
