開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
東京,4R,8,ベアサナエチャン,78.0,1位,84.0,1位,84.0,1位
東京,4R,11,ダイヤテソーロ,71.0,2位,74.0,3位,74.0,3位
東京,6R,6,ヘリテージブルーム,86.0,1位,95.0,1位,84.0,2位
東京,7R,1,ムーンストラック,87.0,2位,99.0,2位,99.0,2位
東京,7R,7,サンセットビュー,86.0,3位,100.0,1位,100.0,1位
東京,8R,16,ホレーショ,91.0,1位,101.0,2位,101.0,2位
東京,9R,6,アルゲンテウス,90.0,2位,99.0,2位,99.0,2位
京都,3R,1,ハヤブササキチャン,80.0,2位,91.0,3位,96.0,1位
京都,3R,4,ブランチアウト,84.0,1位,96.0,1位,96.0,2位
京都,5R,8,マーゴットミスト,83.0,2位,87.0,1位,85.0,2位
京都,12R,13,ララバッカナール,85.0,1位,98.0,1位,95.0,1位
新潟,3R,2,マイネルゼーロス,66.0,2位,67.0,3位,67.0,2位
新潟,3R,6,セブンワンダーズ,67.0,1位,69.0,2位,56.0,3位
新潟,4R,1,ノーブルクライ,1000.0,1位,1000.0,1位,1000.0,1位
新潟,7R,10,ミライハーモニー,81.0,3位,91.0,2位,91.0,1位
新潟,8R,5,エコロハート,90.0,1位,99.0,1位,94.0,1位
新潟,9R,2,ケイツークローン,84.0,3位,101.0,1位,84.0,3位
新潟,10R,1,ダズリングダンス,84.0,3位,112.0,1位,112.0,1位
新潟,11R,12,デュガ,97.0,1位,103.0,3位,103.0,3位
新潟,12R,3,メイショウクモイ,84.0,2位,95.0,1位,95.0,1位
新潟,12R,12,ニシノケンタマン,87.0,1位,93.0,2位,86.0,2位
