開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
中山,6R,8,ランスノーブル,82.0,2位,90.0,2位,90.0,1位
中山,7R,12,アドミラルシップ,91.0,1位,89.0,3位,93.0,2位
中山,8R,10,スリーピース,79.0,2位,95.0,1位,95.0,1位
中山,10R,6,レザンノワール,92.0,2位,101.0,3位,101.0,2位
中山,12R,4,ワンダラー,90.0,3位,103.0,2位,103.0,1位
中山,12R,9,アルジェンタージョ,92.0,1位,102.0,3位,102.0,2位
阪神,6R,2,アートレスマインド,85.0,1位,90.0,3位,90.0,3位
阪神,6R,8,エイユーファイヤー,84.0,3位,91.0,2位,91.0,2位
阪神,8R,4,チェルノボーグ,94.0,1位,98.0,3位,107.0,1位
阪神,8R,6,テラメリタ,90.0,3位,101.0,1位,98.0,2位
阪神,12R,7,フィドルファドル,91.0,2位,101.0,2位,96.0,2位
