開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
中山,6R,9,コーリンカルベラ,85.0,2位,94.0,2位,94.0,2位
中山,6R,10,マリンバンカー,86.0,1位,96.0,1位,96.0,1位
中山,7R,8,ガルサブランカ,90.0,2位,101.0,2位,101.0,1位
中山,8R,5,ショウナンハクウン,91.0,1位,96.0,2位,96.0,2位
中山,10R,4,ドンレパルス,103.0,1位,106.0,2位,106.0,1位
中山,12R,14,シャルムグリーン,74.0,1位,84.0,2位,84.0,2位
京都,6R,5,ロードヴァルカン,85.0,2位,93.0,1位,93.0,2位
京都,10R,7,サクセスアイ,96.0,2位,106.0,1位,103.0,2位
京都,11R,2,サイモンザナドゥ,107.0,1位,116.0,1位,116.0,1位
京都,12R,4,クラウディアイ,84.0,2位,91.0,3位,91.0,3位
京都,12R,5,アレンテージョ,89.0,1位,97.0,1位,94.0,2位
小倉,3R,4,スパークルジョイ,71.0,2位,86.0,3位,85.0,2位
小倉,4R,1,グラヴィテ,1000.0,1位,1000.0,1位,1000.0,1位
小倉,9R,5,エコロハート,89.0,2位,96.0,3位,91.0,2位
小倉,10R,3,パフ,93.0,1位,97.0,3位,93.0,3位
