開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
中山,4R,2,ゴーツウキリシマ,1000.0,2位,1000.0,1位,1000.0,1位
中山,9R,3,ビターグラッセ,88.0,3位,100.0,1位,96.0,3位
中山,9R,11,クロシェットノエル,94.0,1位,100.0,2位,100.0,1位
中山,10R,11,ホウオウバリスタ,97.0,2位,109.0,1位,109.0,1位
中山,11R,1,グランディア,100.0,3位,109.0,2位,109.0,1位
中山,11R,7,コントラポスト,107.0,1位,110.0,1位,108.0,3位
中山,12R,6,メイショウヨゾラ,92.0,2位,100.0,1位,100.0,2位
中山,12R,7,メタルスピード,92.0,3位,100.0,2位,103.0,1位
阪神,7R,6,ティムール,90.0,1位,97.0,3位,95.0,1位
阪神,9R,5,プロミシングスター,99.0,1位,112.0,1位,102.0,3位
阪神,11R,7,コルテオソレイユ,77.0,3位,97.0,1位,84.0,2位
阪神,12R,5,グランデサラス,97.0,1位,106.0,1位,106.0,1位
阪神,12R,8,ブリュットミレジメ,95.0,2位,104.0,3位,104.0,3位
中京,2R,4,スプランドゥール,80.0,2位,87.0,3位,85.0,1位
中京,3R,1,メイショウクーガー,86.0,1位,98.0,2位,95.0,2位
