開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
東京,1R,12,イデアクリスタル,60.0,1位,68.0,1位,68.0,1位
東京,2R,11,ライカ,68.0,1位,71.0,1位,72.0,1位
東京,2R,14,マイネルテオドロス,59.0,3位,65.0,2位,65.0,3位
東京,3R,8,カシマライフウ,72.0,1位,66.0,2位,66.0,2位
東京,4R,6,ベアサナエチャン,78.0,1位,84.0,2位,84.0,1位
東京,6R,7,リフレックス,73.0,1位,78.0,2位,78.0,3位
東京,7R,9,コーシューパンジャ,75.0,3位,93.0,2位,93.0,2位
東京,8R,2,コムユンプリュム,89.0,1位,98.0,2位,98.0,1位
東京,8R,7,コンテネレッツア,89.0,2位,97.0,3位,97.0,2位
東京,10R,8,クールミラボー,104.0,1位,107.0,2位,107.0,2位
東京,12R,5,エイプリルインパリ,87.0,1位,92.0,1位,92.0,2位
京都,2R,2,エクストラプッシュ,67.0,1位,67.0,1位,66.0,1位
京都,2R,11,グランシャン,67.0,2位,61.0,2位,61.0,3位
京都,3R,6,ジーティービキニ,68.0,1位,77.0,1位,77.0,1位
京都,3R,11,ウンナターシャ,58.0,3位,76.0,2位,76.0,2位
京都,4R,8,パーヴォ,72.0,1位,82.0,1位,82.0,1位
京都,4R,10,ヴィラジョヴィス,69.0,2位,74.0,2位,74.0,3位
京都,11R,12,ヘデントール,99.0,2位,112.0,1位,112.0,1位
新潟,6R,11,ノーブルアクト,77.0,2位,95.0,1位,95.0,1位
新潟,7R,13,ベルサ,87.0,1位,100.0,1位,88.0,1位
新潟,9R,4,レイバックスピン,87.0,3位,96.0,1位,96.0,1位
新潟,10R,9,ヴェナートル,87.0,2位,102.0,2位,102.0,2位
新潟,10R,16,カウンターセブン,93.0,1位,101.0,3位,101.0,3位
