開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
東京,1R,4,イデアクリスタル,59.0,1位,68.0,2位,68.0,2位
東京,1R,10,ロット,50.0,3位,61.0,3位,61.0,3位
東京,7R,4,ブルースカイブルー,79.0,2位,89.0,2位,87.0,3位
東京,7R,7,リアライズリバティ,71.0,3位,92.0,1位,92.0,2位
東京,8R,1,アドミラルシップ,89.0,2位,97.0,2位,96.0,1位
東京,10R,4,キョウエイカンセ,85.0,1位,97.0,2位,97.0,2位
京都,2R,1,マクアケ,67.0,2位,80.0,3位,80.0,2位
京都,2R,10,モズプリフォール,74.0,1位,92.0,1位,85.0,1位
京都,3R,1,クリコバロー,68.0,1位,74.0,3位,74.0,3位
京都,4R,17,フレッチャアズーラ,83.0,1位,87.0,3位,81.0,3位
京都,8R,7,ジョータルマエ,91.0,2位,99.0,1位,100.0,1位
京都,9R,9,エルディアブロ,92.0,3位,96.0,3位,98.0,2位
京都,10R,1,セブンマジシャン,97.0,2位,106.0,1位,108.0,1位
京都,11R,1,インユアパレス,101.0,1位,117.0,1位,108.0,3位
新潟,3R,8,スカット,61.0,1位,77.0,2位,55.0,2位
新潟,8R,3,グランコネクシオン,76.0,2位,86.0,3位,86.0,1位
