開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
東京,6R,15,エドワードバローズ,87.0,1位,98.0,1位,98.0,2位
東京,7R,4,スズカコーズ,90.0,3位,98.0,2位,98.0,2位
東京,7R,15,フィリップ,93.0,1位,98.0,3位,98.0,3位
東京,9R,5,ベンヌ,90.0,3位,101.0,2位,101.0,1位
東京,10R,7,ミカッテヨンデイイ,95.0,2位,100.0,2位,100.0,3位
東京,11R,15,レッドモンレーヴ,101.0,1位,118.0,1位,118.0,1位
京都,6R,12,カフェノワール,85.0,1位,94.0,2位,88.0,2位
京都,6R,15,イマージョン,82.0,2位,92.0,3位,85.0,3位
京都,7R,6,ワンダーブレット,91.0,2位,95.0,3位,95.0,2位
京都,8R,2,エールトゥヘヴン,91.0,2位,99.0,2位,99.0,1位
京都,10R,7,グロッシェン,96.0,3位,104.0,2位,104.0,2位
京都,12R,1,プッシュオン,98.0,1位,104.0,3位,104.0,3位
京都,12R,4,セブンマジシャン,98.0,2位,108.0,1位,108.0,1位
福島,2R,9,セージグリーン,79.0,3位,92.0,1位,82.0,1位
福島,4R,3,プリンセスララア,1000.0,3位,1000.0,1位,1000.0,1位
福島,5R,1,ゴットリープ,1000.0,1位,1000.0,1位,1000.0,1位
福島,10R,13,ヴァイザーバルコ,92.0,1位,103.0,1位,103.0,1位
福島,11R,8,ダンテバローズ,104.0,1位,108.0,2位,108.0,1位
福島,12R,7,テンドリームガール,83.0,3位,95.0,1位,83.0,3位
