開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
中山,3R,12,ウルヴァリン,49.0,1位,49.0,2位,49.0,3位
中山,4R,1,シャンデルナゴル,1000.0,1位,1000.0,1位,1000.0,1位
中山,4R,2,ダスク,1000.0,2位,1000.0,2位,1000.0,2位
中山,4R,3,グラヴィテ,1000.0,3位,1000.0,3位,1000.0,3位
中山,6R,7,ルイステソーロ,77.0,2位,87.0,2位,81.0,3位
中山,8R,6,マンダリンボレロ,83.0,3位,97.0,3位,97.0,3位
中山,9R,1,マイユニバース,102.0,1位,103.0,3位,106.0,1位
中山,10R,9,ブレイクフォース,101.0,2位,110.0,2位,110.0,1位
中山,11R,1,ステラスペース,85.0,1位,97.0,1位,97.0,1位
阪神,1R,2,マーゴットデイズ,57.0,3位,64.0,3位,55.0,3位
阪神,1R,4,アーサーバローズ,63.0,1位,68.0,2位,65.0,2位
阪神,3R,7,ピエナオルカ,61.0,1位,71.0,1位,71.0,1位
阪神,3R,9,ショーンバローズ,47.0,2位,66.0,3位,66.0,2位
阪神,6R,5,ニヒトツーゼーア,87.0,1位,94.0,1位,94.0,1位
阪神,8R,7,ショーダンサー,88.0,2位,95.0,3位,95.0,1位
阪神,9R,2,サントルドパリ,68.0,2位,83.0,3位,83.0,2位
阪神,9R,4,テーオーアルアイン,77.0,1位,90.0,2位,90.0,1位
阪神,10R,3,プッシュオン,98.0,2位,104.0,3位,104.0,3位
阪神,10R,4,ユハンヌス,99.0,1位,105.0,2位,106.0,1位
阪神,12R,5,ワーズワース,92.0,1位,103.0,1位,103.0,1位
