開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
福島,3R,2,エコロゼット,73.0,3位,81.0,3位,81.0,1位
福島,6R,5,ニンジャトットリ,70.0,2位,73.0,3位,73.0,3位
福島,6R,12,ミラビリオン,67.0,3位,74.0,2位,74.0,2位
福島,8R,2,レッドカメリア,79.0,3位,90.0,3位,90.0,3位
福島,8R,7,ビッグフラワー,91.0,1位,101.0,1位,94.0,1位
福島,12R,1,ピコテンダー,84.0,2位,93.0,1位,93.0,1位
小倉,7R,15,エアフォースワン,87.0,1位,93.0,1位,93.0,1位
小倉,9R,9,プウスカンドゥール,89.0,2位,101.0,2位,101.0,2位
小倉,12R,15,ベルファスト,88.0,1位,95.0,2位,94.0,1位
函館,1R,6,スイーヴル,80.0,1位,90.0,1位,90.0,1位
函館,1R,7,マーゴットオネイロ,67.0,2位,85.0,2位,74.0,3位
函館,2R,7,ベネディクション,83.0,1位,85.0,1位,85.0,1位
函館,3R,3,コーリンクレア,68.0,1位,81.0,1位,81.0,1位
函館,3R,5,セラサイト,67.0,2位,73.0,3位,72.0,3位
函館,3R,11,コサージュ,65.0,3位,74.0,2位,74.0,2位
函館,4R,13,ヴィラジョヴィス,82.0,1位,94.0,1位,94.0,1位
函館,10R,9,マメタンク,86.0,1位,98.0,1位,98.0,1位
函館,11R,1,エラトー,94.0,3位,103.0,3位,101.0,1位
