開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
中山,2R,12,マイネルテオドロス,59.0,1位,68.0,3位,68.0,3位
中山,4R,2,メイショウソムリエ,1000.0,2位,1000.0,1位,1000.0,2位
中山,4R,3,シャンドゥレール,1000.0,3位,1000.0,2位,1000.0,3位
中山,5R,7,ベアサナエチャン,77.0,1位,84.0,1位,84.0,1位
中山,6R,12,グリーンガーネット,69.0,1位,76.0,3位,75.0,2位
中山,7R,2,ビップムーラン,68.0,1位,90.0,2位,90.0,2位
中山,8R,4,ランスノーブル,87.0,1位,100.0,2位,100.0,2位
中山,8R,7,マリンバンカー,84.0,2位,96.0,3位,96.0,3位
中山,9R,4,グランアルト,76.0,2位,87.0,2位,87.0,1位
中山,10R,6,キタノソワレ,93.0,3位,104.0,3位,103.0,3位
中山,12R,4,アスタールフナ,88.0,1位,106.0,2位,97.0,2位
阪神,6R,10,グッドピース,85.0,2位,89.0,3位,95.0,2位
阪神,7R,6,ウィンターガーデン,71.0,3位,85.0,3位,77.0,3位
阪神,8R,9,モズケイスター,81.0,2位,93.0,2位,90.0,3位
阪神,10R,6,サンライズソレイユ,95.0,2位,70.0,2位,104.0,2位
福島,1R,11,シューティングガイ,64.0,3位,83.0,1位,83.0,1位
福島,5R,8,ブランニューホーム,64.0,2位,78.0,3位,64.0,1位
福島,8R,16,シャーンゴッセ,73.0,2位,85.0,1位,85.0,1位
福島,10R,4,ヴァンヴィーヴ,93.0,1位,101.0,1位,101.0,1位
福島,10R,5,バシレイア,85.0,3位,101.0,2位,101.0,2位
