開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
東京,1R,10,ユイノカタリベ,61.0,1位,63.0,2位,67.0,3位
東京,5R,14,ナックホワイト,77.0,1位,86.0,1位,86.0,1位
東京,6R,3,ティムール,89.0,3位,101.0,2位,101.0,2位
東京,6R,4,ノラリクラリ,90.0,2位,103.0,1位,103.0,1位
東京,6R,13,トラストボス,92.0,1位,95.0,3位,95.0,3位
京都,5R,4,シャローアロス,78.0,1位,75.0,3位,78.0,1位
京都,7R,11,レヴァンテシチー,84.0,2位,100.0,1位,100.0,1位
京都,7R,12,サイモンシュバリエ,86.0,1位,93.0,3位,93.0,2位
京都,8R,11,アレンテージョ,89.0,2位,90.0,3位,94.0,2位
京都,9R,8,ネブラディスク,94.0,1位,99.0,2位,99.0,1位
京都,9R,11,リカントロポ,88.0,3位,96.0,3位,96.0,2位
京都,10R,5,ペンナヴェローチェ,94.0,1位,104.0,2位,104.0,1位
京都,11R,2,ヨーホーレイク,104.0,1位,107.0,1位,113.0,1位
京都,12R,11,ランウインディ,95.0,1位,99.0,3位,99.0,2位
京都,12R,15,ニホンピロトッティ,88.0,2位,102.0,2位,102.0,1位
小倉,1R,12,ロードアマルフィ,63.0,2位,82.0,1位,82.0,1位
小倉,4R,1,ヴァランセカズマ,1000.0,1位,1000.0,1位,1000.0,1位
小倉,7R,1,ゲンジ,92.0,1位,99.0,2位,99.0,2位
小倉,7R,9,ウインリュクス,92.0,2位,99.0,3位,99.0,3位
小倉,8R,9,シーリュウシー,83.0,2位,95.0,1位,93.0,2位
小倉,9R,1,ファミリーツリー,91.0,2位,98.0,3位,98.0,1位
