開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
東京,1R,10,ユイノカタリベ,62.0,1位,67.0,1位,67.0,2位
東京,5R,2,フジガイフウ,82.0,1位,97.0,1位,90.0,2位
東京,6R,8,エリーナストーム,88.0,3位,97.0,2位,97.0,1位
東京,8R,8,メイケイバートン,92.0,3位,101.0,2位,101.0,2位
東京,9R,8,ドンエレクトス,81.0,1位,92.0,1位,92.0,1位
東京,11R,12,コスタノヴァ,111.0,1位,127.0,1位,127.0,1位
阪神,6R,10,ラッキーバック,69.0,1位,75.0,3位,77.0,2位
阪神,7R,4,ロットブラータ,94.0,1位,102.0,1位,93.0,2位
阪神,8R,2,クロノスバレット,76.0,1位,83.0,3位,80.0,3位
阪神,8R,14,ビービーバザーク,74.0,3位,101.0,1位,101.0,1位
阪神,9R,4,ゼンダンハヤブサ,87.0,2位,95.0,3位,90.0,3位
阪神,9R,9,テラメリタ,88.0,1位,101.0,1位,98.0,1位
阪神,10R,1,ユハンヌス,97.0,2位,106.0,1位,106.0,1位
阪神,10R,6,テーオーダヴィンチ,99.0,1位,106.0,2位,106.0,2位
阪神,12R,14,レッドダンルース,87.0,2位,102.0,1位,101.0,2位
小倉,3R,2,ナムラモモ,83.0,1位,91.0,3位,91.0,2位
小倉,3R,6,ナンヨークリスタル,79.0,3位,93.0,2位,93.0,1位
小倉,4R,1,フジフォンテ,1000.0,1位,1000.0,1位,1000.0,1位
小倉,5R,9,ヤクジョ,74.0,1位,73.0,3位,81.0,2位
小倉,6R,14,インフィオラータ,71.0,1位,84.0,2位,84.0,1位
小倉,7R,5,ホウオウバローロ,88.0,1位,98.0,1位,89.0,3位
小倉,12R,15,セゾンデフィーユ,93.0,1位,102.0,1位,102.0,1位
