開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
中山,6R,7,ダンツティアラ,79.0,2位,97.0,1位,97.0,1位
中山,6R,11,ミスターキャンベラ,78.0,3位,94.0,2位,94.0,2位
中山,7R,6,デイジー,86.0,2位,99.0,1位,99.0,1位
中山,7R,9,ポッドロルフ,89.0,1位,97.0,2位,93.0,2位
中山,8R,4,マリンバンカー,86.0,2位,96.0,3位,96.0,2位
阪神,1R,3,モズナイスバディー,1000.0,3位,1000.0,1位,1000.0,1位
阪神,7R,6,ハグレジョー,93.0,1位,102.0,1位,102.0,1位
阪神,8R,9,エンベッカ,85.0,2位,92.0,2位,93.0,2位
阪神,9R,11,セイキュート,89.0,3位,104.0,1位,104.0,1位
阪神,10R,6,マテンロウブレイブ,94.0,2位,110.0,1位,110.0,1位
阪神,12R,4,ソウルアンドジャズ,93.0,1位,98.0,1位,98.0,1位
