開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
東京,8R,10,セントラルヴァレー,94.0,2位,96.0,1位,96.0,2位
東京,10R,4,ミスタージーティー,91.0,3位,106.0,1位,99.0,3位
東京,12R,14,タイセイカレント,91.0,3位,101.0,2位,101.0,2位
京都,6R,13,ロードシュヴァリエ,82.0,3位,91.0,3位,91.0,1位
京都,7R,5,アメジストブラック,91.0,2位,99.0,2位,104.0,1位
京都,8R,16,ノボリクレバー,90.0,1位,98.0,1位,98.0,1位
京都,9R,2,フェアリーライク,92.0,1位,93.0,3位,93.0,3位
京都,9R,8,バレルターン,91.0,2位,95.0,2位,95.0,2位
京都,10R,1,ルディック,100.0,1位,107.0,3位,107.0,2位
京都,12R,3,サーナーティオン,90.0,1位,98.0,3位,98.0,3位
福島,4R,3,グラヴィテ,1000.0,3位,1000.0,1位,1000.0,2位
福島,5R,1,サラフィエル,1000.0,1位,1000.0,1位,1000.0,1位
福島,5R,3,スズノイナズマ,1000.0,3位,1000.0,2位,1000.0,2位
福島,7R,4,カウンターセブン,88.0,1位,92.0,3位,92.0,1位
福島,9R,6,ハーエクセレンシー,85.0,2位,92.0,3位,88.0,1位
福島,11R,11,ショウナンハクラク,97.0,1位,107.0,2位,99.0,3位
