開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
東京,1R,8,カラクリスピリッツ,54.0,1位,55.0,2位,55.0,3位
東京,5R,16,ビービーアジャイル,74.0,3位,81.0,1位,81.0,1位
東京,6R,1,ハルオーブ,82.0,2位,91.0,1位,91.0,2位
東京,7R,9,シルフレイ,76.0,3位,95.0,1位,95.0,1位
東京,8R,5,ミクストベリーズ,90.0,2位,102.0,1位,102.0,3位
東京,9R,1,インペリアルライン,91.0,1位,94.0,3位,94.0,3位
東京,10R,2,バトルボーン,103.0,1位,105.0,3位,106.0,2位
東京,12R,15,フルオール,96.0,1位,105.0,2位,105.0,2位
京都,1R,11,グロリアス,56.0,2位,67.0,3位,59.0,3位
京都,4R,10,ブランチアウト,79.0,2位,96.0,1位,96.0,1位
京都,6R,5,レジェンドシップ,88.0,2位,97.0,1位,98.0,3位
京都,7R,1,ショコラプリン,73.0,1位,83.0,2位,80.0,2位
京都,10R,4,タガノアラリア,88.0,2位,96.0,1位,94.0,1位
京都,11R,3,タイセイドレフォン,98.0,3位,109.0,2位,109.0,1位
新潟,2R,5,ドリームガッサン,58.0,3位,68.0,2位,45.0,1位
新潟,8R,6,ペンテリコン,82.0,1位,91.0,2位,91.0,2位
新潟,9R,5,ウインリュクス,92.0,1位,92.0,3位,99.0,1位
新潟,10R,2,サンカルミア,86.0,2位,95.0,3位,95.0,3位
新潟,11R,5,グレイイングリーン,103.0,1位,113.0,1位,102.0,1位
