開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
福島,9R,8,ヴァイザーバルコ,94.0,3位,103.0,1位,103.0,2位
福島,11R,1,ショウナンハクラク,92.0,1位,107.0,2位,99.0,2位
小倉,2R,1,ソルアモール,59.0,2位,83.0,1位,83.0,1位
小倉,3R,18,クランズクラウン,73.0,1位,85.0,1位,85.0,1位
小倉,4R,2,ジョーカー,75.0,1位,80.0,2位,73.0,2位
小倉,4R,15,セイウンダイフク,58.0,2位,81.0,1位,81.0,1位
小倉,8R,3,ジョアン,78.0,3位,90.0,1位,90.0,1位
小倉,8R,8,アンリーベイビー,79.0,2位,84.0,2位,84.0,2位
小倉,8R,9,ベルメサイア,82.0,1位,84.0,3位,84.0,3位
小倉,9R,3,ウインリュクス,91.0,1位,99.0,1位,99.0,1位
小倉,10R,15,シュブロンレーヴル,91.0,2位,103.0,2位,103.0,1位
函館,6R,3,シンエンドーツダ,75.0,1位,82.0,3位,82.0,3位
函館,7R,4,ナイスプレーアスク,86.0,3位,89.0,3位,89.0,3位
函館,9R,7,モルビド,82.0,3位,94.0,2位,94.0,1位
函館,10R,12,ヴィヴァクラウン,88.0,2位,93.0,3位,93.0,3位
函館,11R,11,ソリダリティ,91.0,3位,105.0,3位,105.0,2位
函館,12R,1,ビップムーラン,76.0,3位,88.0,1位,88.0,1位
