開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
中山,1R,1,ビックリパラダイス,1035,2位,1039.0,1位,1039.0,1位
中山,2R,1,セブンワンダーズ,1056,3位,1056.0,3位,1056.0,2位
中山,2R,2,ザンテソーロ,1057,1位,1059.0,2位,1059.0,1位
中山,2R,3,マツリダシリウス,1057,2位,1067.0,1位,1055.0,3位
中山,4R,1,ゴーツウキリシマ,1000,1位,1000.0,1位,1000.0,1位
中山,4R,3,スティルシャイニン,1000,3位,1000.0,2位,1000.0,2位
中山,6R,1,パシーヴ,1081,1位,1085.0,3位,1085.0,2位
中山,6R,2,カフェベラノッテ,1078,2位,1094.0,1位,1085.0,3位
中山,6R,3,チェルシー,1071,3位,1092.0,2位,1092.0,1位
中山,7R,2,キョウエイグッド,1078,1位,1079.0,2位,1079.0,2位
中山,7R,3,フォーグッド,1077,2位,1092.0,1位,1085.0,1位
中山,8R,1,レグザゴン,1075,2位,1087.0,3位,1087.0,3位
中山,8R,2,クールソル,1070,3位,1091.0,2位,1091.0,2位
中山,8R,3,リリージェーン,1083,1位,1098.0,1位,1098.0,1位
中山,9R,3,ロンギングセリーヌ,1068,3位,1074.0,2位,1062.0,1位
中山,10R,2,オーケーバーディー,1084,3位,1098.0,2位,1098.0,2位
中山,10R,3,チュウワクリスエス,1092,2位,1103.0,1位,1100.0,1位
中山,11R,1,ウインモナーク,1087,2位,1102.0,1位,1102.0,1位
中山,11R,2,シンバーシア,1096,1位,1102.0,2位,1102.0,2位
中山,12R,1,プリティディーヴァ,1087,1位,1079.0,3位,1102.0,1位
中山,12R,2,スムースベルベット,1087,2位,1100.0,1位,1100.0,2位
中山,12R,3,ジャガード,1084,3位,1093.0,2位,1090.0,3位
京都,1R,2,リビングラヴ,1032,2位,1032.0,1位,1032.0,1位
京都,2R,3,グラスゴー,1061,1位,1061.0,1位,1061.0,1位
京都,3R,2,アルダ,1041,2位,1057.0,1位,1057.0,1位
京都,7R,1,ゼットスパンキー,1087,1位,1091.0,1位,1086.0,1位
京都,7R,3,シュテルンビルト,1081,2位,1088.0,2位,1081.0,2位
京都,8R,2,ドラゴン,1089,1位,1092.0,1位,1085.0,1位
京都,8R,3,リアルスター,1075,3位,1081.0,2位,1079.0,2位
京都,9R,2,ハートメテオ,1085,1位,1056.0,3位,1083.0,2位
京都,9R,3,リッチブラック,1081,2位,1090.0,2位,1094.0,1位
京都,10R,2,フルールジェンヌ,1079,2位,1086.0,2位,1086.0,1位
京都,11R,1,グランドセントラル,1087,3位,1075.0,3位,1080.0,3位
京都,11R,2,ジャーヴィス,1092,1位,1103.0,1位,1103.0,1位
京都,11R,3,ハードワイヤード,1088,2位,1100.0,2位,1100.0,2位
京都,12R,2,サヴァビアン,1077,3位,1073.0,1位,1075.0,3位
