開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
中山,2R,3,ユニゾン,66.0,1位,71.0,1位,69.0,1位
中山,8R,1,メリークリスマス,89.0,3位,98.0,2位,98.0,1位
中山,10R,10,サザンエルフ,94.0,2位,111.0,2位,103.0,2位
中山,12R,11,キョウエイカンフ,96.0,1位,100.0,2位,100.0,1位
阪神,4R,1,リオンエトワール,1000.0,1位,1000.0,1位,1000.0,1位
阪神,8R,8,ラファル,87.0,2位,95.0,2位,95.0,1位
阪神,8R,9,ジェミート,86.0,3位,94.0,3位,91.0,3位
阪神,11R,10,ランスオブカオス,102.0,3位,109.0,3位,109.0,1位
中京,2R,14,ミルミナーヴァ,81.0,1位,100.0,1位,92.0,1位
中京,3R,1,コズミックダンサー,83.0,3位,88.0,1位,95.0,2位
中京,7R,6,アドミラルシップ,87.0,3位,90.0,3位,90.0,2位
