開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
新潟,2R,11,アデルフィー,69.0,3位,74.0,3位,70.0,2位
新潟,2R,15,カシマライフウ,71.0,1位,81.0,1位,67.0,3位
新潟,5R,7,ヤマメホープ,81.0,1位,84.0,3位,84.0,1位
新潟,6R,3,ルーナディサングエ,84.0,2位,100.0,2位,86.0,1位
新潟,8R,10,ハビレ,97.0,2位,108.0,2位,101.0,3位
新潟,9R,10,フォーグッド,85.0,2位,95.0,3位,89.0,2位
新潟,12R,4,チュラヴェール,64.0,3位,73.0,2位,73.0,2位
新潟,12R,7,ロンバスブレス,70.0,1位,77.0,1位,77.0,1位
中京,4R,16,ナムラヴンダー,84.0,2位,94.0,3位,94.0,2位
中京,5R,4,コスモフィレンツェ,83.0,1位,92.0,1位,92.0,1位
中京,5R,6,パンキー,80.0,2位,89.0,2位,89.0,3位
中京,8R,6,トライアンフパス,93.0,2位,99.0,3位,99.0,2位
中京,9R,6,ラテライト,69.0,2位,88.0,1位,88.0,1位
中京,10R,2,パヴィーア,82.0,2位,93.0,2位,93.0,1位
中京,10R,6,ジューンセクレタ,83.0,1位,91.0,3位,91.0,2位
中京,11R,1,オーバースタンド,85.0,2位,98.0,3位,98.0,3位
札幌,1R,4,ショウナンタヅナ,69.0,3位,76.0,3位,76.0,2位
札幌,4R,5,アニマレイ,69.0,2位,68.0,3位,68.0,2位
札幌,4R,7,フェイスリフト,76.0,1位,75.0,1位,75.0,1位
札幌,6R,11,ペカリーナ,79.0,2位,88.0,1位,88.0,1位
札幌,6R,12,サウンドファミリエ,77.0,3位,81.0,2位,87.0,2位
札幌,8R,3,ロードアルディート,83.0,2位,84.0,3位,84.0,1位
札幌,8R,8,ピエナオルカ,86.0,1位,121.0,1位,82.0,2位
札幌,9R,3,アイドクレース,87.0,1位,93.0,3位,93.0,1位
