開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
中山,1R,6,ニンジャトットリ,67.0,1位,71.0,2位,71.0,2位
中山,4R,1,ストラクチャー,1000.0,1位,1000.0,1位,1000.0,1位
中山,7R,4,イージーブリージー,86.0,3位,97.0,3位,97.0,3位
中山,7R,8,ブラックジェダイト,87.0,2位,100.0,1位,100.0,1位
中山,9R,8,ムジェロ,88.0,1位,98.0,3位,98.0,3位
中山,10R,2,ブランデーロック,93.0,2位,103.0,3位,103.0,2位
阪神,3R,9,ミスヘンリー,59.0,1位,74.0,2位,74.0,1位
阪神,5R,2,カフジクロミエ,71.0,1位,87.0,2位,87.0,2位
阪神,10R,10,キングスコール,97.0,1位,110.0,1位,103.0,2位
福島,1R,14,アーティラリー,64.0,1位,68.0,1位,68.0,1位
福島,5R,14,コスモクラシック,67.0,1位,87.0,1位,70.0,3位
福島,6R,11,コスモイシュタル,88.0,1位,105.0,1位,105.0,1位
福島,10R,3,パールフロント,83.0,3位,79.0,3位,79.0,3位
福島,10R,4,ヒルノピレネー,91.0,1位,90.0,1位,90.0,1位
福島,12R,9,ラッキーヤース,77.0,3位,91.0,2位,91.0,1位
