開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
中山,1R,15,フライスカイハイ,49.0,1位,65.0,2位,65.0,2位
中山,2R,3,ドゥーニ,59.0,2位,69.0,3位,69.0,3位
中山,3R,9,エコロバロン,55.0,1位,65.0,2位,65.0,2位
中山,3R,16,ベアゴーフォー,55.0,2位,65.0,3位,62.0,3位
中山,7R,4,キングズトゥルー,86.0,3位,103.0,1位,103.0,1位
中山,7R,5,テイキットイージー,87.0,2位,87.0,3位,90.0,3位
中山,7R,9,トラストボス,90.0,1位,99.0,2位,99.0,2位
中山,8R,1,パシーヴ,81.0,1位,85.0,3位,85.0,2位
中山,10R,10,コートアリシアン,100.0,1位,110.0,1位,110.0,1位
中山,12R,14,キョウエイカンフ,90.0,2位,100.0,3位,100.0,2位
阪神,2R,2,ジャーナーリア,65.0,1位,75.0,1位,75.0,1位
阪神,3R,9,サンライズアーサー,64.0,1位,74.0,1位,74.0,1位
阪神,6R,1,シゲルオトヒメ,71.0,1位,92.0,1位,82.0,1位
阪神,8R,2,エコロデュエル,1000.0,2位,1000.0,1位,1000.0,2位
阪神,12R,5,フランキーバローズ,81.0,1位,93.0,1位,93.0,1位
中京,2R,4,スノーランス,58.0,1位,63.0,2位,63.0,1位
中京,8R,13,フルドド,78.0,3位,85.0,3位,87.0,2位
中京,9R,9,ロードガレリア,91.0,1位,97.0,1位,97.0,1位
中京,10R,9,タケトンボ,92.0,1位,98.0,2位,98.0,1位
中京,12R,11,ビーグラッド,85.0,3位,96.0,3位,92.0,3位
