セクション,馬番,馬名,近走平均,当該距離,当該コース
【近走平均 トップ5】,,,,,
データなし,,,,,
【当該距離 トップ5】,,,,,
データなし,,,,,
【当該コース トップ5】,,,,,
データなし,,,,,
【3指数すべてトップ5入り馬】,,,,,
該当なし,,,,,
