開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
中山,2R,2,タニセンローマ,54.0,1位,62.0,3位,62.0,3位
中山,3R,6,エクスプレスナイト,55.0,1位,59.0,3位,59.0,4位
中山,4R,6,ブルースパーダ,54.0,1位,54.0,4位,54.0,4位
中山,5R,10,ナハトナナレオン,71.0,1位,69.0,4位,73.0,2位
中山,7R,1,ランスノーブル,87.0,1位,100.0,1位,100.0,1位
中山,7R,9,マタミカンサン,80.0,3位,85.0,4位,82.0,3位
中山,9R,13,ホワイトガーベラ,89.0,4位,102.0,4位,98.0,4位
中山,10R,1,ドンエレクトス,87.0,1位,95.0,2位,86.0,3位
中山,10R,8,チャーリー,83.0,2位,99.0,1位,99.0,1位
中山,11R,7,コスモキュランダ,103.0,1位,108.0,2位,111.0,2位
中山,12R,3,ロンパイア,84.0,5位,98.0,2位,98.0,2位
中山,12R,4,サムシャイン,91.0,1位,102.0,1位,102.0,1位
中山,12R,6,コーリンカルベラ,85.0,3位,94.0,5位,94.0,4位
阪神,1R,1,マユナイト,52.0,1位,56.0,2位,56.0,1位
阪神,2R,8,コンテナヒーロー,50.0,2位,58.0,3位,58.0,3位
阪神,4R,1,レイサンソク,67.0,1位,82.0,2位,73.0,2位
阪神,6R,2,グロリアスマーチ,82.0,1位,93.0,1位,93.0,2位
阪神,6R,6,ミトノリン,75.0,2位,86.0,3位,86.0,4位
阪神,7R,7,カフェノワール,80.0,2位,88.0,3位,86.0,3位
阪神,7R,9,ヒミノエトワール,89.0,1位,97.0,1位,97.0,1位
阪神,7R,11,ラピダリア,75.0,5位,85.0,4位,85.0,4位
阪神,9R,4,ジャストビート,68.0,2位,67.0,2位,62.0,4位
阪神,10R,4,フードマン,94.0,1位,94.0,4位,90.0,5位
阪神,10R,7,チムグクル,93.0,2位,100.0,1位,96.0,2位
阪神,11R,1,フレイムスター,77.0,1位,86.0,4位,85.0,2位
阪神,12R,7,チムニートップス,83.0,4位,92.0,1位,92.0,1位
阪神,12R,10,クロノスバレット,79.0,5位,80.0,3位,92.0,2位
中京,1R,10,ジャガーライズ,60.0,1位,73.0,3位,73.0,2位
中京,6R,3,パヴィーア,83.0,1位,93.0,1位,93.0,1位
中京,6R,5,エイシンマールス,78.0,3位,90.0,2位,90.0,2位
中京,6R,11,タリスマン,76.0,4位,89.0,3位,89.0,3位
中京,7R,5,グローブアマランス,85.0,3位,95.0,1位,86.0,5位
中京,7R,14,ムーンライトラガー,87.0,2位,93.0,5位,93.0,2位
中京,8R,5,ホウオウタイタン,80.0,5位,94.0,4位,94.0,3位
中京,8R,8,マドモアゼルアスク,83.0,3位,98.0,2位,98.0,1位
中京,8R,15,マイネルアレス,86.0,1位,98.0,3位,98.0,2位
中京,9R,3,ディズレーリ,76.0,3位,95.0,2位,95.0,2位
中京,9R,7,ニヒトツーゼーア,85.0,1位,80.0,4位,94.0,3位
中京,10R,4,バンフィエルド,84.0,5位,97.0,3位,99.0,5位
中京,10R,10,ニュークレド,87.0,4位,105.0,1位,105.0,1位
中京,11R,3,エポックヴィーナス,93.0,3位,102.0,2位,98.0,4位
中京,11R,15,ミエスペランサ,93.0,4位,103.0,1位,103.0,1位
中京,12R,3,サクラオーラ,87.0,4位,93.0,5位,93.0,2位
