開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
新潟,3R,4,エコロセレナ,66.0,2位,76.0,2位,71.0,2位
新潟,3R,15,セントリアン,60.0,3位,68.0,3位,65.0,3位
新潟,4R,12,クリムゾンリーフ,75.0,1位,76.0,3位,76.0,1位
新潟,5R,1,ブリングライト,75.0,3位,97.0,1位,97.0,1位
新潟,5R,9,アンバサダネージュ,79.0,1位,94.0,2位,94.0,2位
新潟,10R,2,ミッドセンチュリー,83.0,2位,88.0,2位,84.0,2位
新潟,10R,3,テイキットイージー,83.0,3位,86.0,3位,86.0,1位
新潟,10R,6,オプレントジュエル,86.0,1位,98.0,1位,82.0,3位
中京,4R,8,ハオカノア,69.0,1位,84.0,2位,75.0,1位
中京,5R,11,ハイクライテリア,79.0,1位,90.0,3位,82.0,3位
中京,5R,14,ペプチドレオン,75.0,2位,94.0,2位,90.0,1位
中京,7R,3,レイピア,103.0,1位,110.0,1位,110.0,1位
中京,10R,10,グランデスフィーダ,79.0,1位,94.0,1位,86.0,2位
中京,11R,7,セクシーマージュ,90.0,1位,98.0,1位,98.0,1位
中京,12R,3,レインボーステート,82.0,2位,97.0,3位,97.0,3位
中京,12R,7,ララディアーブル,82.0,3位,98.0,1位,98.0,1位
札幌,3R,5,デルシエロ,87.0,2位,94.0,2位,87.0,2位
札幌,7R,7,メイショウローゼ,86.0,1位,87.0,1位,87.0,1位
札幌,8R,7,ピエナオルカ,87.0,1位,121.0,1位,82.0,3位
札幌,11R,5,ダノンマッキンリー,101.0,1位,107.0,2位,100.0,2位
札幌,11R,13,ルシード,99.0,2位,111.0,1位,98.0,3位
札幌,12R,1,マイネルシンベリン,92.0,1位,93.0,3位,84.0,3位
