開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
中山,1R,8,クイーンズホリデー,51.0,1位,57.0,4位,57.0,4位
中山,2R,15,ニンジャトットリ,63.0,1位,68.0,1位,68.0,1位
中山,2R,16,ベアゴーフォー,57.0,2位,68.0,2位,68.0,2位
中山,3R,2,パワポケウォーズ,54.0,1位,64.0,3位,60.0,4位
中山,4R,8,ベルランコントル,75.0,1位,81.0,2位,81.0,2位
中山,5R,2,キンググローリー,79.0,1位,88.0,2位,88.0,3位
中山,6R,9,アパタイトテソーロ,64.0,3位,75.0,4位,75.0,3位
中山,6R,10,スリーコーズ,66.0,1位,82.0,2位,82.0,1位
中山,7R,2,クニノハッピー,79.0,3位,96.0,1位,96.0,1位
中山,7R,9,マリンバンカー,86.0,1位,96.0,2位,96.0,2位
中山,8R,5,ルイステソーロ,79.0,1位,87.0,4位,87.0,3位
中山,8R,10,アルニラム,77.0,3位,88.0,3位,88.0,2位
中山,8R,13,カルフ,75.0,4位,87.0,5位,87.0,4位
中山,9R,4,ユメシルベ,77.0,2位,83.0,1位,85.0,2位
中山,10R,3,アンビバレント,93.0,2位,98.0,5位,98.0,5位
中山,10R,12,ヴェサリウス,97.0,1位,100.0,3位,100.0,4位
中山,10R,14,ブランデーロック,93.0,3位,100.0,4位,103.0,1位
中山,12R,5,カリーシ,84.0,4位,97.0,1位,97.0,1位
中山,12R,10,トーセントラム,85.0,3位,97.0,2位,96.0,2位
阪神,1R,2,ルパピヨンブラン,49.0,1位,60.0,4位,60.0,4位
阪神,3R,14,シャープインサイト,57.0,2位,67.0,3位,67.0,2位
阪神,5R,5,サイモンシャリオ,70.0,1位,89.0,1位,64.0,4位
阪神,6R,10,モンサンゴールデン,78.0,1位,91.0,1位,85.0,1位
阪神,7R,3,ヴァージル,91.0,1位,98.0,1位,98.0,1位
阪神,7R,8,ザカリナン,85.0,4位,93.0,3位,93.0,3位
阪神,7R,9,ワンコールアウェイ,89.0,2位,94.0,2位,93.0,4位
阪神,8R,4,エコテーラー,91.0,3位,95.0,4位,93.0,3位
阪神,8R,5,ステラクラウン,92.0,2位,102.0,2位,95.0,2位
阪神,8R,6,スターリングアップ,86.0,5位,96.0,3位,92.0,4位
阪神,9R,1,メイショウオグマ,84.0,1位,90.0,2位,90.0,1位
阪神,9R,4,ヤマカツレオン,76.0,3位,82.0,5位,80.0,5位
阪神,9R,11,スコーピオンイメル,76.0,4位,93.0,1位,87.0,2位
阪神,10R,1,コーチェラバレー,95.0,2位,102.0,4位,102.0,1位
阪神,10R,2,ベトルス,96.0,1位,97.0,5位,97.0,5位
阪神,11R,3,メイショウシンタケ,96.0,5位,108.0,2位,108.0,3位
阪神,11R,9,ブルーミンデザイン,100.0,2位,108.0,3位,108.0,4位
阪神,12R,5,アスタールフナ,91.0,1位,106.0,3位,94.0,3位
阪神,12R,13,プレアデスグループ,86.0,3位,109.0,2位,100.0,2位
中京,2R,9,メイショウハチマキ,51.0,2位,50.0,1位,65.0,4位
中京,4R,16,ウインドトリック,73.0,2位,84.0,2位,63.0,2位
中京,6R,1,サンライズバブル,86.0,4位,101.0,2位,101.0,2位
中京,6R,4,マイネルアズーロ,86.0,5位,102.0,1位,102.0,1位
中京,6R,8,ロードガレリア,96.0,1位,98.0,4位,98.0,4位
中京,7R,2,ベルフィーヌ,77.0,3位,90.0,1位,85.0,3位
中京,8R,2,メイショウナルカミ,77.0,1位,96.0,1位,96.0,1位
中京,9R,14,サンウリエル,84.0,5位,98.0,3位,98.0,2位
中京,9R,15,タイキバルドル,86.0,3位,97.0,4位,97.0,3位
中京,10R,4,アラレタバシル,94.0,4位,93.0,4位,93.0,5位
中京,10R,12,フルオール,99.0,1位,104.0,1位,104.0,1位
中京,11R,13,ナムラクレア,109.0,1位,117.0,2位,116.0,1位
中京,12R,4,カレンワッツアップ,88.0,3位,92.0,5位,92.0,3位
