開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
東京,6R,8,キョウエイフロイデ,86.0,1位,96.0,2位,96.0,2位
東京,6R,9,サムワンライクユー,85.0,2位,93.0,3位,93.0,3位
東京,7R,1,アサクサヴィーナス,90.0,1位,98.0,2位,98.0,2位
東京,7R,14,ロジカルワーズ,89.0,2位,100.0,1位,100.0,1位
東京,10R,3,アスクデビューモア,97.0,3位,108.0,2位,108.0,2位
東京,10R,7,ホウオウバリスタ,104.0,1位,108.0,3位,108.0,3位
東京,11R,2,ウォーターリヒト,103.0,1位,110.0,3位,110.0,3位
東京,12R,13,スズカコーズ,92.0,2位,98.0,3位,98.0,1位
京都,7R,8,バガン,84.0,1位,93.0,1位,94.0,1位
京都,11R,4,リバートゥルー,100.0,1位,105.0,1位,89.0,3位
京都,12R,10,ショウナンラウール,88.0,1位,96.0,2位,96.0,1位
新潟,4R,13,ヴァズレーヌ,88.0,1位,95.0,2位,95.0,1位
新潟,7R,15,アンドローゼス,87.0,2位,95.0,2位,94.0,1位
新潟,9R,6,イゾレエオリア,85.0,3位,94.0,2位,102.0,1位
新潟,9R,14,ビップチェイス,87.0,2位,94.0,3位,87.0,2位
新潟,10R,2,モリノセピア,94.0,1位,105.0,2位,105.0,2位
新潟,10R,6,ダズリングダンス,92.0,2位,112.0,1位,112.0,1位
新潟,12R,14,シュラフ,88.0,1位,97.0,2位,97.0,2位
