開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
新潟,7R,2,アラレタバシル,95.0,1位,107.0,1位,107.0,1位
新潟,8R,10,スイートオレンジ,88.0,1位,97.0,2位,88.0,1位
新潟,9R,3,トモジャシーマ,81.0,1位,87.0,3位,79.0,3位
中京,3R,5,パンキー,78.0,1位,89.0,1位,89.0,1位
中京,5R,4,リリーサンダー,65.0,2位,77.0,2位,62.0,1位
中京,7R,10,エポックヴィーナス,97.0,2位,106.0,1位,100.0,3位
中京,10R,10,カフェノワール,79.0,2位,94.0,1位,94.0,2位
中京,11R,6,シェーラ,88.0,1位,93.0,2位,93.0,2位
中京,12R,9,パスコード,83.0,2位,94.0,3位,92.0,2位
札幌,4R,11,アドミラルシップ,85.0,3位,97.0,3位,92.0,2位
札幌,9R,3,フォルテフィオーレ,84.0,3位,97.0,2位,91.0,2位
札幌,10R,7,ユーティジャーニー,86.0,3位,87.0,1位,92.0,1位
札幌,12R,7,ユージュアーナ,83.0,2位,89.0,3位,81.0,3位
