開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
中山,4R,2,デザートスター,1000.0,2位,1000.0,1位,1000.0,1位
中山,10R,6,ブレイクフォース,104.0,2位,110.0,3位,110.0,2位
阪神,7R,3,マハナ,85.0,1位,96.0,1位,78.0,1位
阪神,8R,9,ディキシーガンナー,93.0,1位,102.0,1位,98.0,1位
阪神,8R,10,フィドルファドル,93.0,2位,101.0,2位,96.0,2位
中京,3R,6,シルフズミスチーフ,81.0,1位,88.0,2位,87.0,3位
中京,3R,12,スカイブルー,81.0,2位,89.0,1位,89.0,2位
中京,6R,4,マーゴットレジーナ,85.0,2位,96.0,3位,96.0,1位
中京,9R,5,レッドボブ,84.0,1位,98.0,1位,89.0,2位
中京,10R,1,マイネルシーマー,84.0,3位,88.0,3位,89.0,3位
中京,10R,4,オルトパラティウム,94.0,1位,97.0,1位,97.0,1位
中京,10R,10,バンフィエルド,87.0,2位,97.0,2位,97.0,2位
中京,12R,11,タイキバルドル,86.0,3位,97.0,2位,97.0,2位
