開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
福島,2R,3,ニシノタチアナ,74.0,1位,84.0,2位,84.0,2位
福島,3R,3,ベルランコントル,77.0,2位,82.0,1位,82.0,1位
福島,3R,14,ヤマメホープ,79.0,1位,81.0,2位,81.0,2位
福島,4R,10,コウソクルリアン,69.0,2位,65.0,2位,65.0,2位
福島,7R,9,ランスノーブル,87.0,2位,90.0,2位,87.0,1位
福島,8R,4,ジャグアール,80.0,2位,97.0,1位,97.0,1位
福島,9R,1,バシレイア,88.0,3位,101.0,3位,101.0,1位
福島,11R,2,カンピオーネ,100.0,3位,106.0,2位,103.0,3位
小倉,3R,16,カトマンズゴールド,80.0,1位,85.0,3位,82.0,1位
小倉,4R,4,モズタイシソウシ,64.0,1位,72.0,2位,72.0,2位
小倉,9R,7,ウィテカービート,79.0,2位,92.0,2位,79.0,3位
小倉,10R,1,プウスカンドゥール,87.0,2位,101.0,1位,101.0,1位
小倉,11R,9,ヨシノイースター,103.0,2位,110.0,2位,110.0,1位
小倉,11R,12,フリッカージャブ,104.0,1位,112.0,1位,104.0,2位
函館,2R,7,マーマレードスカイ,58.0,2位,67.0,2位,67.0,2位
函館,2R,10,グレイトソン,75.0,1位,67.0,3位,67.0,3位
函館,3R,1,ニシノモリミチ,65.0,2位,71.0,1位,71.0,1位
函館,6R,8,ゴコウコイコイ,74.0,3位,91.0,2位,91.0,2位
函館,6R,16,ギオンバヤシ,78.0,1位,93.0,1位,93.0,1位
函館,7R,7,キャリーグレイス,82.0,1位,96.0,1位,86.0,1位
函館,8R,2,ポンピエ,78.0,2位,81.0,3位,81.0,2位
函館,9R,2,ハリウッドメモリー,90.0,2位,104.0,1位,101.0,1位
