開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
東京,7R,7,パストラーレ,87.0,1位,91.0,2位,98.0,2位
東京,7R,9,クライスレリアーナ,86.0,3位,101.0,1位,101.0,1位
東京,8R,5,マーゴットレーヴ,78.0,2位,88.0,1位,88.0,1位
東京,9R,1,デシマルサーガ,1000.0,1位,1000.0,1位,1000.0,1位
東京,9R,2,ブリエヴェール,1000.0,2位,1000.0,2位,1000.0,2位
東京,10R,2,ショウナンカブト,92.0,3位,100.0,2位,100.0,2位
東京,10R,4,レッドダンルース,93.0,2位,100.0,3位,100.0,3位
東京,10R,8,サノノワンダー,98.0,1位,101.0,1位,101.0,1位
東京,12R,12,ショウナンラピダス,95.0,3位,107.0,1位,107.0,1位
京都,3R,6,エフエイト,80.0,3位,90.0,3位,90.0,1位
京都,3R,12,タイセイディアマン,84.0,1位,91.0,2位,88.0,3位
京都,6R,5,レッドボブ,91.0,1位,98.0,1位,98.0,1位
京都,7R,12,ジャスパーソレイユ,83.0,2位,90.0,3位,82.0,2位
京都,8R,1,メイショウカイト,93.0,2位,101.0,2位,96.0,1位
京都,10R,5,プロミシングスター,101.0,2位,112.0,1位,112.0,1位
京都,12R,2,プルナチャンドラ,90.0,3位,97.0,2位,97.0,3位
新潟,4R,10,デルマエアロール,77.0,2位,91.0,3位,91.0,2位
新潟,6R,6,ヤマニンクイッカー,79.0,2位,90.0,1位,90.0,1位
新潟,9R,15,ケイツールピア,87.0,1位,97.0,2位,97.0,2位
新潟,10R,3,ヴェナートル,83.0,2位,102.0,2位,102.0,2位
新潟,11R,1,エリカヴィータ,95.0,1位,99.0,2位,95.0,3位
新潟,12R,2,ブリングライト,85.0,2位,97.0,1位,97.0,1位
