開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
東京,2R,7,カミノテイオー,54.0,3位,53.0,3位,67.0,3位
東京,2R,11,コスモラムバック,67.0,2位,71.0,2位,71.0,2位
東京,4R,6,ガードオブオナー,81.0,1位,84.0,1位,84.0,1位
東京,5R,11,ワディアルリヤハ,76.0,1位,88.0,1位,82.0,2位
東京,6R,3,ナックホワイト,80.0,2位,86.0,2位,86.0,2位
東京,6R,4,ショウナンダイン,72.0,3位,81.0,3位,81.0,3位
東京,9R,5,パワーホール,94.0,3位,104.0,3位,103.0,1位
東京,10R,10,ドンエレクトス,91.0,1位,100.0,1位,100.0,1位
東京,12R,3,モーニングマジック,91.0,2位,102.0,2位,102.0,1位
京都,1R,5,キープシャイニング,68.0,2位,86.0,3位,71.0,3位
京都,5R,5,カクウチ,86.0,2位,89.0,3位,92.0,1位
京都,7R,3,ロードシュヴァリエ,80.0,2位,78.0,3位,91.0,1位
京都,7R,11,メイショウコナン,86.0,1位,86.0,1位,89.0,3位
京都,8R,4,ヒミノエトワール,89.0,1位,97.0,2位,94.0,1位
京都,9R,3,スナークピカソ,88.0,2位,102.0,2位,97.0,3位
京都,10R,3,ヴィスマール,86.0,2位,95.0,3位,92.0,3位
京都,11R,1,アーレムアレス,83.0,3位,98.0,1位,76.0,3位
京都,12R,11,クリノフィガロ,89.0,2位,98.0,3位,98.0,1位
新潟,1R,1,ボルタドマール,1000.0,1位,1000.0,1位,1000.0,1位
新潟,3R,9,スノーランス,65.0,1位,73.0,3位,71.0,1位
新潟,4R,1,テクネチウム,1000.0,1位,1000.0,1位,1000.0,1位
新潟,4R,2,スコラーリ,1000.0,2位,1000.0,2位,1000.0,2位
新潟,5R,16,マイネルユーゲント,71.0,1位,89.0,1位,58.0,2位
新潟,7R,12,ピコテンダー,80.0,2位,101.0,1位,101.0,1位
新潟,8R,3,ヴァズレーヌ,81.0,1位,95.0,1位,95.0,1位
新潟,8R,9,ライヴスプーン,78.0,3位,84.0,3位,84.0,2位
新潟,11R,5,カウンターセブン,96.0,1位,101.0,1位,101.0,1位
