開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
中山,6R,2,ストーリーオブラブ,77.0,1位,100.0,1位,100.0,1位
中山,6R,7,リュミナーズ,73.0,3位,84.0,3位,84.0,3位
中山,7R,16,ミッドセンチュリー,82.0,2位,88.0,3位,96.0,1位
中山,8R,7,トモジャシーマ,82.0,1位,89.0,3位,89.0,3位
中山,8R,12,ソニックブレイカー,82.0,2位,93.0,2位,93.0,2位
中山,10R,13,レザンノワール,88.0,2位,101.0,3位,101.0,2位
中山,11R,13,セブンマジシャン,96.0,1位,106.0,2位,104.0,3位
阪神,6R,2,ケイアイアマゾン,84.0,2位,102.0,2位,102.0,2位
阪神,8R,8,ビヨンドザドリーム,86.0,2位,89.0,3位,90.0,3位
阪神,10R,11,ジーティーマン,91.0,2位,104.0,3位,104.0,2位
阪神,12R,7,タイセイディアマン,84.0,3位,102.0,2位,102.0,1位
