開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
東京,2R,1,サクラドール,64.0,2位,71.0,2位,71.0,3位
東京,3R,7,ジュナベーラ,70.0,2位,77.0,3位,80.0,3位
東京,6R,5,トルネードアイル,80.0,1位,82.0,3位,82.0,3位
東京,7R,9,ハングローズ,66.0,1位,75.0,1位,75.0,1位
東京,8R,1,タイセイプランセス,89.0,1位,105.0,1位,97.0,2位
東京,8R,10,アドミラルシップ,87.0,3位,97.0,2位,96.0,3位
東京,9R,3,ピックデムッシュ,95.0,1位,92.0,3位,92.0,3位
東京,11R,2,クールミラボー,102.0,2位,107.0,1位,107.0,1位
東京,12R,16,サムワンライクユー,76.0,2位,93.0,1位,93.0,1位
阪神,2R,12,マリリンバローズ,72.0,1位,86.0,2位,86.0,2位
阪神,3R,1,マクノス,60.0,2位,76.0,2位,76.0,2位
阪神,6R,7,メイショウショカツ,77.0,1位,92.0,1位,88.0,2位
阪神,7R,15,テイクザクラウン,84.0,2位,98.0,1位,94.0,2位
阪神,8R,1,ニヒトツーゼーア,87.0,1位,94.0,2位,94.0,2位
阪神,8R,9,ジーティーアメリカ,83.0,2位,89.0,3位,89.0,3位
阪神,11R,3,ベルジュロネット,106.0,1位,114.0,1位,113.0,1位
函館,4R,3,ミリオンアップ,64.0,3位,67.0,3位,67.0,2位
函館,8R,4,キャンドルマス,76.0,1位,88.0,3位,85.0,3位
函館,10R,5,ペリプルス,88.0,2位,97.0,2位,95.0,2位
函館,11R,16,ラパンチュール,92.0,2位,105.0,1位,105.0,1位
函館,12R,3,マーベリックシチー,75.0,3位,92.0,1位,87.0,1位
