開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
中山,8R,4,ピコテンダー,81.0,2位,101.0,1位,92.0,3位
中山,11R,4,ジューンオレンジ,98.0,2位,108.0,3位,108.0,2位
阪神,8R,8,イマージョン,81.0,1位,92.0,2位,92.0,1位
阪神,8R,13,メイショウドライブ,80.0,3位,92.0,3位,92.0,2位
阪神,10R,8,プレイリードリーム,86.0,1位,101.0,2位,103.0,1位
中京,2R,3,クインズセレネ,82.0,1位,91.0,2位,91.0,1位
中京,3R,5,ニヒトツーゼーア,86.0,1位,77.0,3位,94.0,2位
中京,3R,16,コズミックダンサー,84.0,2位,88.0,1位,95.0,1位
中京,4R,7,シンデレラガール,61.0,1位,75.0,3位,75.0,2位
中京,6R,10,ゴルデールスカー,80.0,3位,89.0,3位,87.0,2位
中京,7R,12,レーティッシュ,88.0,1位,97.0,1位,90.0,2位
中京,8R,5,エイシンジェンマ,88.0,1位,92.0,1位,92.0,2位
中京,9R,1,タマモイカロス,76.0,2位,83.0,1位,81.0,2位
中京,10R,1,テーオーライマン,92.0,1位,94.0,2位,98.0,1位
中京,11R,9,フルオール,99.0,2位,104.0,3位,104.0,1位
