開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
中山,2R,6,アオイミズホ,65.0,1位,63.0,2位,63.0,2位
中山,3R,4,セントリアン,59.0,3位,59.0,4位,59.0,5位
中山,3R,12,ヌクレオチド,63.0,1位,77.0,1位,77.0,1位
中山,6R,12,モルニケ,76.0,1位,91.0,2位,88.0,2位
中山,7R,4,スマートクオーレ,79.0,3位,82.0,3位,91.0,3位
中山,7R,9,ブレイクザアイス,79.0,4位,77.0,5位,94.0,2位
中山,9R,6,ビーオンザカバー,97.0,1位,97.0,3位,102.0,1位
中山,10R,2,ピクシレーション,95.0,2位,100.0,4位,100.0,4位
中山,10R,12,リバートゥルー,93.0,3位,105.0,2位,105.0,2位
中山,10R,13,エリカサファイア,99.0,1位,106.0,1位,106.0,1位
中山,12R,7,アツキヤマト,83.0,1位,88.0,4位,86.0,3位
中山,12R,16,トニケンサンバ,79.0,3位,92.0,1位,92.0,1位
阪神,6R,8,ハグレジョー,76.0,1位,83.0,4位,83.0,2位
阪神,6R,12,エブリデイ,65.0,3位,79.0,5位,79.0,3位
阪神,7R,5,ウィンターガーデン,72.0,1位,85.0,2位,67.0,5位
阪神,7R,8,ラテライト,68.0,2位,88.0,1位,71.0,4位
阪神,7R,11,バシリス,64.0,5位,79.0,4位,79.0,2位
阪神,8R,6,メイショウオオコ,88.0,2位,94.0,5位,97.0,2位
阪神,8R,8,ヴァンアグレアブル,83.0,5位,98.0,3位,98.0,1位
阪神,9R,5,ウインデイジー,90.0,1位,92.0,4位,79.0,5位
阪神,10R,16,ポエットリー,92.0,5位,102.0,4位,98.0,5位
阪神,12R,6,メイショウゴールド,75.0,5位,91.0,2位,91.0,2位
阪神,12R,7,ロードヴァルカン,81.0,2位,93.0,1位,93.0,1位
中京,1R,9,ナウオアネヴァー,58.0,1位,67.0,2位,53.0,1位
中京,2R,4,スノーランス,62.0,1位,73.0,1位,73.0,1位
中京,7R,1,インディゴ,78.0,4位,91.0,3位,91.0,1位
中京,7R,5,フォースミラクル,84.0,1位,91.0,4位,91.0,2位
中京,7R,7,ジェミート,84.0,2位,94.0,2位,85.0,4位
中京,8R,7,アドミラルシップ,87.0,2位,93.0,5位,90.0,3位
中京,8R,11,エアビッグマム,86.0,5位,96.0,2位,96.0,2位
中京,9R,5,ホーリーブラッサム,95.0,1位,102.0,2位,102.0,1位
中京,9R,6,パルティクラール,88.0,5位,94.0,4位,88.0,4位
中京,9R,8,メイケイバートン,91.0,2位,101.0,3位,94.0,2位
中京,10R,6,ピエマンソン,95.0,2位,106.0,2位,99.0,1位
中京,12R,2,ゴールドブレス,85.0,4位,91.0,3位,91.0,3位
中京,12R,5,シャンパンライフ,89.0,1位,90.0,5位,91.0,4位
