開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
新潟,6R,2,コートアリシアン,98.0,1位,110.0,1位,98.0,1位
新潟,8R,6,リッキースタイル,89.0,1位,100.0,3位,100.0,1位
新潟,9R,6,マタミカンサン,78.0,1位,86.0,1位,79.0,3位
新潟,9R,15,グランコネクシオン,73.0,2位,86.0,2位,86.0,1位
新潟,12R,10,ミスタートントン,69.0,1位,78.0,1位,74.0,1位
中京,5R,10,タガノプディング,75.0,2位,89.0,1位,79.0,1位
中京,5R,12,キャスケード,70.0,3位,77.0,2位,77.0,2位
中京,7R,3,ピエマンソン,95.0,3位,106.0,2位,102.0,1位
中京,8R,7,エアフォースワン,80.0,2位,85.0,2位,89.0,2位
中京,11R,4,イルミナジーティー,78.0,2位,95.0,3位,95.0,2位
札幌,4R,2,ゴコウコイコイ,80.0,1位,91.0,1位,85.0,1位
札幌,7R,7,ミサビスケッツ,75.0,3位,97.0,1位,84.0,3位
札幌,8R,1,ルージュビバーチェ,81.0,1位,90.0,1位,90.0,1位
札幌,8R,4,サウンドルーチェ,79.0,2位,87.0,3位,87.0,2位
札幌,12R,2,ココデイック,83.0,3位,88.0,3位,84.0,2位
札幌,12R,4,サマーナイト,85.0,1位,89.0,2位,89.0,1位
