開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
東京,2R,16,ファイアリービート,68.0,1位,83.0,1位,83.0,1位
東京,3R,4,クリムゾンリーフ,71.0,1位,84.0,1位,84.0,1位
東京,3R,6,ネイティヴプライド,68.0,2位,77.0,3位,77.0,3位
東京,7R,5,ヴンダーバール,85.0,1位,97.0,1位,97.0,1位
東京,7R,11,クラリネットソナタ,82.0,2位,97.0,2位,97.0,2位
東京,8R,15,オルグジェシダ,91.0,3位,103.0,1位,103.0,1位
阪神,1R,1,メイショウナナユキ,64.0,1位,82.0,2位,82.0,2位
阪神,1R,16,オアシスアラン,55.0,3位,84.0,1位,84.0,1位
阪神,3R,5,マイカラー,70.0,2位,82.0,2位,82.0,2位
阪神,3R,8,ハオカノア,68.0,3位,84.0,1位,84.0,1位
阪神,8R,7,リオンプライム,84.0,1位,87.0,1位,90.0,1位
阪神,9R,1,ステラクラウン,89.0,2位,102.0,1位,95.0,2位
阪神,10R,8,パシアンジャン,98.0,1位,107.0,1位,98.0,3位
函館,6R,3,ライヴマルガリータ,54.0,3位,70.0,2位,70.0,1位
函館,8R,2,ホウオウバローロ,80.0,1位,98.0,1位,98.0,1位
函館,10R,3,ジュンラトゥール,93.0,1位,108.0,1位,94.0,2位
函館,10R,9,ライフゲート,85.0,3位,97.0,3位,96.0,1位
函館,12R,3,ウインベラーノ,88.0,1位,97.0,1位,97.0,1位
