開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
東京,2R,12,リフレックス,69.0,1位,78.0,2位,78.0,1位
東京,6R,12,ベアサナエチャン,77.0,1位,84.0,2位,84.0,2位
東京,8R,4,アルゲンテウス,92.0,1位,99.0,1位,99.0,2位
東京,10R,2,コスモジンバック,95.0,1位,105.0,3位,105.0,3位
東京,10R,6,オメガタキシード,95.0,2位,108.0,2位,108.0,2位
東京,12R,16,クラリネットソナタ,90.0,1位,97.0,2位,97.0,2位
阪神,9R,13,レッドフェルメール,85.0,2位,99.0,3位,96.0,2位
阪神,10R,16,リネアグローリア,94.0,2位,105.0,1位,105.0,1位
小倉,1R,2,ボールドタワー,66.0,1位,75.0,1位,74.0,1位
小倉,2R,18,ムーンリットアイル,71.0,1位,91.0,1位,91.0,1位
小倉,3R,8,ファンシーフリル,72.0,1位,84.0,1位,84.0,1位
小倉,4R,3,ボルタドマール,1000.0,3位,1000.0,1位,1000.0,1位
小倉,5R,1,ダイスアローリング,1000.0,1位,1000.0,1位,1000.0,1位
小倉,5R,2,コスモチプリア,1000.0,2位,1000.0,2位,1000.0,2位
小倉,7R,14,ローズマイスター,81.0,2位,90.0,2位,86.0,2位
小倉,8R,11,フォーカルフラワー,89.0,2位,102.0,1位,93.0,1位
小倉,10R,1,ドーバーブライト,90.0,3位,106.0,1位,106.0,1位
小倉,12R,1,ミエノブラボー,86.0,1位,95.0,3位,95.0,2位
