開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
中山,7R,8,パシーヴ,80.0,2位,85.0,2位,85.0,2位
中山,8R,10,プルナチャンドラ,92.0,3位,97.0,1位,95.0,3位
中山,8R,12,マンダリンボレロ,95.0,1位,97.0,2位,97.0,1位
中山,9R,12,フィーリウス,94.0,3位,109.0,1位,109.0,1位
中山,10R,4,アイアムユウシュン,96.0,1位,105.0,3位,105.0,1位
中山,11R,3,ジャスティンパレス,109.0,1位,116.0,1位,116.0,2位
阪神,5R,3,アメリカンエール,1000.0,3位,1000.0,1位,1000.0,1位
阪神,9R,8,テラメリタ,91.0,1位,101.0,1位,98.0,3位
阪神,10R,6,マイネルエニグマ,92.0,2位,101.0,3位,98.0,3位
阪神,11R,5,コンクイスタ,101.0,2位,114.0,1位,106.0,3位
阪神,12R,3,エマヌエーレ,91.0,3位,105.0,1位,101.0,1位
