開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
東京,1R,2,バイアブランカ,1056,2位,1065.0,1位,1065.0,1位
東京,1R,3,ゼフィリア,1054,3位,1055.0,2位,1055.0,2位
東京,2R,1,ヌクレオチド,1067,1位,1056.0,3位,1059.0,2位
東京,2R,3,マッシブショット,1055,2位,1061.0,2位,1061.0,1位
東京,3R,3,ブラックパロット,1060,1位,1060.0,1位,1060.0,1位
東京,4R,3,ビップマリク,1066,3位,1072.0,1位,1065.0,2位
東京,7R,1,レッドロスタム,1083,1位,1102.0,1位,1096.0,1位
東京,7R,2,スタニングヴュー,1074,2位,1052.0,3位,1077.0,3位
東京,7R,3,スターエンブレム,1064,3位,1083.0,2位,1083.0,2位
東京,8R,1,ティアップドライブ,1072,1位,1082.0,2位,1087.0,1位
東京,8R,3,エムティエスターテ,1061,3位,1085.0,1位,1084.0,2位
東京,9R,2,ルージュリリック,1076,2位,1053.0,2位,1071.0,1位
東京,10R,3,バンブルビー,1082,3位,1099.0,1位,1099.0,1位
東京,11R,1,ストレングス,1098,2位,1106.0,2位,1106.0,2位
東京,11R,3,ドンインザムード,1101,1位,1110.0,1位,1109.0,1位
東京,12R,1,レーヴドレフォン,1078,2位,1054.0,2位,1054.0,2位
東京,12R,3,パイシャオピン,1087,1位,1105.0,1位,1105.0,1位
京都,1R,1,カーリキュー,1065,2位,1060.0,2位,1049.0,2位
京都,1R,3,メリフルアス,1066,1位,1073.0,1位,1071.0,1位
京都,2R,1,クレセントゼファー,1048,2位,1053.0,2位,1053.0,2位
京都,2R,3,メイショウコシュウ,1068,1位,1077.0,1位,1077.0,1位
京都,4R,1,エトワールブーケ,1090,1位,1090.0,1位,1090.0,1位
京都,6R,1,プレダトゥール,1090,1位,1090.0,1位,1090.0,1位
京都,6R,2,シュテフィ,1058,3位,1076.0,2位,1066.0,2位
京都,6R,3,シオンダンサー,1064,2位,1074.0,3位,1062.0,3位
京都,7R,2,サンディエゴ,1071,2位,1078.0,2位,1078.0,1位
京都,7R,3,ビルンバウム,1081,1位,1088.0,1位,1078.0,2位
京都,8R,1,チャイボーグ,1071,3位,1087.0,1位,1092.0,2位
京都,8R,3,ウインラウダ,1082,2位,1055.0,3位,1093.0,1位
京都,9R,1,ジャスティンルマン,1068,3位,1064.0,3位,1064.0,3位
京都,9R,2,テイエムアイラン,1077,1位,1083.0,1位,1084.0,2位
京都,9R,3,オックスアイ,1072,2位,1076.0,2位,1091.0,1位
京都,10R,1,ハニーコム,1088,3位,1099.0,2位,1096.0,2位
京都,10R,3,アラベラ,1092,2位,1089.0,3位,1100.0,1位
京都,11R,1,ポッドロゴ,1096,2位,1100.0,1位,1105.0,1位
京都,11R,2,キョウキランブ,1084,3位,1047.0,2位,1047.0,2位
京都,12R,1,ジョウゲンノツキ,1069,3位,1079.0,3位,1073.0,3位
京都,12R,2,リアルスター,1070,2位,1086.0,2位,1086.0,2位
京都,12R,3,ズバットマサムネ,1086,1位,1089.0,1位,1096.0,1位
新潟,1R,2,ランフォースマイル,1000,2位,1000.0,1位,1000.0,1位
新潟,2R,2,スマートコーラル,1057,1位,1074.0,1位,1069.0,1位
新潟,4R,2,サルサロッサ,1000,2位,1000.0,1位,1000.0,2位
新潟,5R,3,ミスターマーボー,1077,1位,1071.0,1位,1064.0,1位
新潟,6R,1,ヤマタケボニータ,1061,3位,1067.0,3位,1054.0,1位
新潟,8R,1,マタミカンサン,1083,1位,1086.0,1位,1068.0,1位
新潟,8R,3,リュミナーズ,1073,3位,1084.0,2位,1059.0,2位
新潟,10R,1,サイレントグルーヴ,1070,3位,1102.0,1位,1102.0,1位
新潟,10R,2,トゥルーサクセサー,1085,1位,1096.0,2位,1085.0,2位
新潟,10R,3,エコログロス,1073,2位,1086.0,3位,1078.0,3位
新潟,11R,1,スペルキャスター,1082,3位,1089.0,2位,1096.0,1位
新潟,11R,3,ライクアフラワー,1088,2位,1096.0,1位,1088.0,3位
