開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
中山,3R,5,ハヌル,81.0,2位,90.0,1位,84.0,3位
中山,3R,15,ラヴァグロウ,78.0,3位,88.0,3位,88.0,2位
中山,7R,11,マイネルモメンタム,83.0,3位,98.0,1位,88.0,1位
中山,8R,9,チャコール,73.0,3位,90.0,1位,89.0,2位
中山,8R,12,サヨノジャンボリー,77.0,2位,89.0,3位,89.0,3位
中山,10R,6,ソワドリヨン,83.0,3位,102.0,1位,102.0,1位
中山,11R,14,ブレイクフォース,107.0,2位,110.0,3位,110.0,2位
中山,12R,5,メイデンタワー,90.0,1位,102.0,1位,102.0,1位
中山,12R,12,ヤマメキング,88.0,3位,96.0,3位,96.0,3位
阪神,4R,2,サンマルグレイト,1000.0,2位,1000.0,1位,1000.0,1位
阪神,6R,14,オーレアミスト,81.0,2位,90.0,3位,90.0,1位
阪神,7R,16,アンジョルラス,84.0,3位,96.0,2位,96.0,1位
阪神,9R,4,モズタチアガレ,87.0,2位,93.0,3位,93.0,2位
阪神,9R,8,ハクサンアイリス,90.0,1位,99.0,1位,99.0,1位
阪神,11R,1,プロミシングスター,100.0,1位,112.0,1位,102.0,1位
