開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
東京,3R,1,ユイノカタリベ,60.0,3位,64.0,1位,67.0,1位
東京,4R,1,ガードオブオナー,75.0,2位,83.0,2位,83.0,2位
東京,4R,6,イブキ,81.0,1位,86.0,1位,86.0,1位
東京,5R,16,ダイユウアレグロ,73.0,1位,80.0,1位,76.0,3位
東京,6R,2,フジガイフウ,86.0,1位,97.0,1位,90.0,2位
東京,6R,3,グランセレスト,78.0,2位,87.0,3位,87.0,3位
東京,8R,2,レイククレセント,91.0,1位,100.0,2位,100.0,2位
東京,8R,10,サクセスカラー,91.0,3位,101.0,1位,101.0,1位
東京,10R,12,ペリエール,104.0,3位,111.0,2位,111.0,2位
京都,1R,7,アルムアポジェ,71.0,1位,87.0,1位,61.0,1位
京都,4R,3,フジフォンテ,1000.0,3位,1000.0,1位,1000.0,1位
京都,7R,12,エリカアンディーヴ,82.0,2位,92.0,3位,92.0,2位
京都,8R,2,メイショウクモイ,85.0,1位,95.0,1位,90.0,1位
京都,9R,6,エルディアブロ,89.0,2位,97.0,3位,95.0,3位
京都,11R,17,エルトンバローズ,103.0,2位,111.0,1位,111.0,3位
京都,12R,5,メイショウオオコ,92.0,1位,101.0,3位,94.0,3位
福島,1R,7,ドリームガッサン,53.0,1位,53.0,3位,53.0,3位
福島,4R,7,カレンデュラ,77.0,1位,86.0,1位,86.0,1位
福島,5R,9,ベルランコントル,76.0,1位,81.0,2位,75.0,2位
福島,6R,1,テイキットイージー,85.0,3位,97.0,3位,97.0,1位
福島,8R,1,ダノンゴーイチ,82.0,3位,98.0,2位,89.0,2位
福島,9R,6,ゲンジ,89.0,1位,94.0,2位,92.0,3位
福島,11R,7,ショウナンハクラク,92.0,2位,107.0,1位,99.0,3位
福島,12R,5,レイアポポ,77.0,1位,80.0,2位,80.0,2位
