開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
東京,4R,7,ゼンカイパイロ,84.0,1位,91.0,1位,91.0,2位
東京,6R,3,サムワンライクユー,81.0,3位,93.0,3位,93.0,3位
東京,6R,6,レッドエウロス,85.0,1位,96.0,2位,96.0,2位
東京,7R,1,リトルジャイアンツ,89.0,1位,97.0,2位,97.0,2位
東京,7R,6,ボウウィンドウ,88.0,2位,107.0,1位,107.0,1位
東京,8R,2,テーオーマルコーニ,90.0,2位,103.0,1位,103.0,1位
東京,10R,11,ユハンヌス,97.0,1位,106.0,2位,106.0,2位
東京,11R,8,インユアパレス,110.0,1位,117.0,3位,117.0,3位
京都,8R,5,ポンピエ,84.0,1位,96.0,1位,90.0,2位
京都,10R,8,ミラージュナイト,92.0,2位,101.0,1位,111.0,1位
京都,11R,9,ビッグシーザー,102.0,1位,110.0,2位,110.0,2位
小倉,7R,3,ノーブルアクト,83.0,1位,90.0,2位,90.0,2位
小倉,9R,10,ペリプルス,86.0,2位,97.0,2位,97.0,1位
小倉,12R,3,スネーフリンガ,85.0,1位,95.0,2位,90.0,2位
