開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
新潟,6R,10,クールベイビー,80.0,3位,106.0,1位,106.0,1位
新潟,10R,15,カーボフリオ,60.0,2位,60.0,3位,49.0,1位
新潟,11R,2,マイネルアウルム,87.0,1位,97.0,1位,79.0,3位
新潟,12R,11,ロジキセキ,67.0,1位,75.0,1位,75.0,1位
中京,4R,7,レッドブライトン,83.0,1位,77.0,3位,93.0,1位
中京,6R,1,ホウオウタイタン,91.0,1位,102.0,2位,102.0,1位
中京,6R,2,ステラクラウン,88.0,3位,102.0,3位,102.0,2位
中京,9R,6,ナムラヴンダー,81.0,2位,94.0,1位,94.0,1位
札幌,1R,10,プルーフリーディン,77.0,1位,90.0,1位,79.0,1位
札幌,3R,5,ハヤブササキチャン,86.0,2位,96.0,2位,88.0,3位
札幌,4R,4,メイショウタイザン,71.0,1位,75.0,2位,75.0,1位
札幌,7R,12,ヒメヒオウギ,81.0,2位,88.0,2位,82.0,3位
札幌,8R,2,タイセイジェイド,88.0,1位,87.0,3位,87.0,2位
札幌,9R,3,エコロハート,83.0,2位,99.0,2位,87.0,2位
札幌,10R,10,パールフロント,89.0,1位,109.0,1位,91.0,2位
札幌,11R,4,マジックサンズ,102.0,1位,111.0,3位,98.0,3位
