開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
東京,7R,11,スプランドゥール,83.0,2位,91.0,2位,91.0,2位
東京,8R,3,アドミラルシップ,91.0,1位,93.0,1位,96.0,1位
東京,8R,7,リポサンテ,82.0,2位,90.0,3位,95.0,2位
東京,9R,12,メイケイバートン,91.0,2位,101.0,3位,101.0,2位
東京,10R,4,フルオール,100.0,2位,105.0,2位,105.0,2位
東京,10R,7,ラフエイジアン,99.0,3位,105.0,3位,105.0,3位
東京,12R,6,アルジェンタージョ,88.0,2位,98.0,3位,91.0,3位
京都,7R,6,ゴルデールスカー,81.0,2位,89.0,2位,85.0,1位
京都,9R,8,ジョータルマエ,91.0,3位,99.0,3位,99.0,3位
京都,10R,1,サクセスアイ,96.0,1位,106.0,3位,103.0,2位
京都,11R,4,ドクタードリトル,97.0,3位,104.0,3位,107.0,2位
京都,12R,1,ニュークレド,89.0,1位,101.0,1位,101.0,1位
京都,12R,3,デルシエロ,87.0,3位,93.0,3位,101.0,2位
新潟,1R,13,カレンデュラ,74.0,1位,78.0,2位,77.0,1位
新潟,4R,5,ロッカバイベイビー,83.0,1位,106.0,1位,106.0,1位
新潟,4R,8,フォンメイリー,77.0,3位,94.0,3位,94.0,2位
新潟,6R,15,アンドローゼス,89.0,1位,95.0,3位,94.0,1位
新潟,7R,9,ハヌル,76.0,2位,90.0,2位,90.0,1位
新潟,8R,9,サンカルミア,87.0,1位,95.0,2位,95.0,1位
新潟,8R,12,ブレードサクセス,84.0,2位,93.0,3位,93.0,2位
新潟,9R,7,ブライトアゲイン,82.0,1位,91.0,2位,91.0,2位
新潟,10R,8,ミライヘノカギ,90.0,1位,96.0,3位,96.0,1位
