開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
中山,2R,6,キセログラフィカ,68.0,1位,73.0,2位,73.0,2位
中山,2R,8,ユイノサダハル,67.0,2位,77.0,1位,77.0,1位
中山,3R,10,ベアゴーフォー,64.0,1位,70.0,3位,70.0,2位
中山,12R,4,ケンキョ,86.0,2位,93.0,2位,93.0,2位
中山,12R,5,ホウオウプレミア,87.0,1位,93.0,3位,93.0,3位
阪神,1R,15,グロリアス,55.0,2位,67.0,3位,67.0,2位
阪神,3R,10,グランシャン,65.0,1位,83.0,1位,83.0,1位
阪神,7R,2,エーデルヴェーグ,92.0,1位,102.0,1位,97.0,2位
阪神,8R,6,アットアブラスト,85.0,3位,99.0,2位,94.0,1位
阪神,9R,3,メイケイレイン,87.0,2位,104.0,1位,104.0,1位
阪神,10R,6,アジュマン,88.0,2位,104.0,1位,104.0,1位
福島,1R,11,ワイドアルバ,46.0,3位,43.0,1位,43.0,1位
福島,3R,15,マイネルユーゲント,70.0,1位,89.0,1位,72.0,2位
福島,4R,10,ボールドタワー,69.0,1位,75.0,1位,75.0,1位
