開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
福島,1R,1,グラヴィテ,1000.0,1位,1000.0,1位,1000.0,1位
福島,2R,5,カンフーヒーロー,52.0,3位,47.0,3位,47.0,3位
福島,3R,9,プロスペクトパーク,83.0,1位,89.0,1位,89.0,1位
福島,8R,2,ウインマニフィーク,68.0,2位,80.0,2位,83.0,1位
福島,11R,4,マリアイリダータ,93.0,1位,99.0,3位,102.0,1位
福島,12R,6,デアリングエア,82.0,3位,94.0,2位,94.0,1位
福島,12R,12,ビッグフラワー,91.0,1位,101.0,1位,94.0,2位
小倉,2R,8,モズタイシソウシ,59.0,3位,66.0,1位,66.0,1位
小倉,6R,1,フレアオブセンス,82.0,1位,89.0,1位,83.0,2位
小倉,6R,9,ビップヴォルフ,82.0,3位,87.0,2位,87.0,1位
小倉,7R,15,アンリーベイビー,77.0,3位,84.0,1位,84.0,1位
小倉,8R,1,ドルチェミスト,78.0,3位,88.0,2位,88.0,1位
小倉,8R,8,レオナルドスター,87.0,1位,97.0,1位,88.0,2位
小倉,10R,13,シュブロンレーヴル,93.0,2位,103.0,2位,103.0,1位
小倉,12R,2,ピアストイヤーズ,84.0,2位,91.0,2位,83.0,2位
小倉,12R,7,メイショウオオミネ,86.0,1位,88.0,3位,88.0,1位
函館,2R,2,スイーヴル,75.0,1位,82.0,1位,80.0,1位
函館,3R,9,コイオステソーロ,78.0,1位,99.0,1位,99.0,1位
函館,6R,1,コサージュ,60.0,3位,72.0,1位,71.0,2位
函館,6R,6,コウソクユノ,63.0,2位,72.0,2位,72.0,1位
函館,7R,6,マカナアネラ,85.0,1位,100.0,1位,85.0,2位
函館,10R,6,ロードマンハイム,88.0,3位,97.0,3位,91.0,2位
函館,11R,3,ジョーメッドヴィン,95.0,3位,106.0,3位,106.0,1位
函館,12R,1,マーベリックシチー,82.0,1位,92.0,2位,87.0,3位
函館,12R,8,ベイビールビオ,74.0,3位,91.0,3位,91.0,1位
