開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
中山,1R,15,ドナソール,49.0,1位,57.0,2位,64.0,1位
中山,8R,2,テセラリアン,89.0,1位,100.0,2位,100.0,2位
中山,9R,1,レオテミス,96.0,1位,109.0,1位,109.0,1位
中山,12R,4,マリンバンカー,84.0,1位,96.0,2位,96.0,2位
中山,12R,15,ニシノブレイゼスト,84.0,2位,94.0,3位,94.0,3位
阪神,7R,2,ペレグリン,77.0,2位,86.0,2位,82.0,3位
阪神,7R,3,ペンテリコン,86.0,1位,91.0,1位,93.0,1位
阪神,8R,6,コンフォルツァ,89.0,3位,98.0,2位,92.0,3位
阪神,8R,7,チェルノボーグ,94.0,1位,107.0,1位,107.0,1位
阪神,10R,17,ベラジオボンド,98.0,1位,101.0,2位,103.0,2位
阪神,11R,4,キタノズエッジ,104.0,1位,112.0,1位,108.0,1位
阪神,12R,17,チューラワンサ,95.0,1位,100.0,2位,100.0,3位
中京,3R,1,エイユーファイヤー,89.0,1位,91.0,2位,88.0,2位
中京,3R,14,アークドール,88.0,2位,94.0,1位,93.0,1位
中京,4R,13,トライアンフパス,82.0,1位,86.0,1位,86.0,1位
中京,6R,15,ゼットスパンキー,87.0,2位,91.0,3位,91.0,2位
中京,8R,7,ベルサ,89.0,2位,100.0,1位,95.0,2位
中京,10R,13,テラメリタ,91.0,3位,101.0,1位,93.0,3位
