開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
中山,3R,6,マイネルオランチア,63.0,1位,78.0,1位,78.0,1位
中山,4R,2,シュハリ,1000.0,2位,1000.0,1位,1000.0,1位
中山,7R,1,フィールオーサム,83.0,3位,89.0,3位,89.0,2位
中山,7R,15,ランスノーブル,87.0,1位,100.0,1位,100.0,1位
中山,8R,9,ロンドンオービタル,78.0,1位,87.0,1位,82.0,2位
中山,9R,3,ファイアトリック,91.0,2位,97.0,3位,97.0,3位
中山,9R,12,トクシースタローン,93.0,1位,101.0,1位,101.0,1位
京都,1R,2,リアルアルバ,57.0,1位,65.0,1位,65.0,1位
京都,6R,5,アンジュアルディ,76.0,3位,92.0,3位,92.0,3位
京都,7R,6,サンマルノヴェル,91.0,1位,96.0,2位,96.0,2位
京都,10R,3,ペンナヴェローチェ,98.0,2位,104.0,3位,104.0,2位
京都,10R,8,パシアンジャン,99.0,1位,107.0,1位,107.0,1位
