開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
東京,1R,5,エクスプレスナイト,55.0,1位,56.0,2位,56.0,3位
東京,2R,6,タケルゴールド,81.0,3位,86.0,3位,86.0,3位
東京,2R,13,トレインザマインド,83.0,2位,92.0,1位,92.0,1位
東京,3R,16,リアライズタキオン,65.0,1位,84.0,2位,84.0,2位
東京,7R,16,グロリアスマーチ,81.0,1位,93.0,1位,92.0,1位
東京,8R,5,チュウワチーフ,90.0,1位,100.0,2位,100.0,2位
東京,9R,3,イクリール,91.0,2位,100.0,2位,100.0,2位
東京,10R,10,ヴァンドーム,104.0,1位,104.0,2位,106.0,3位
京都,2R,16,マクアケ,56.0,1位,62.0,3位,66.0,1位
京都,3R,8,ピエナオルカ,61.0,1位,61.0,2位,64.0,3位
京都,4R,5,キープシャイニング,64.0,1位,71.0,2位,71.0,1位
京都,7R,2,エイシンマールス,82.0,2位,90.0,2位,85.0,2位
京都,7R,14,モズタチアガレ,88.0,1位,96.0,1位,91.0,1位
京都,8R,5,ノボリクレバー,89.0,2位,94.0,1位,98.0,3位
京都,11R,8,ジャスティンスカイ,97.0,2位,106.0,3位,106.0,2位
小倉,3R,11,チュラヴェール,61.0,1位,70.0,2位,70.0,2位
小倉,4R,3,セイフウサツキ,1000.0,3位,1000.0,1位,1000.0,1位
小倉,6R,14,ブライトアゲイン,86.0,2位,97.0,2位,97.0,1位
小倉,8R,1,ジューンベロシティ,1000.0,1位,1000.0,1位,1000.0,1位
小倉,8R,2,ローディアマント,1000.0,2位,1000.0,2位,1000.0,2位
小倉,8R,3,テイエムマジック,1000.0,3位,1000.0,3位,1000.0,3位
小倉,10R,4,ザウリ,88.0,1位,96.0,3位,96.0,3位
小倉,11R,2,コウセキ,95.0,2位,106.0,3位,106.0,1位
小倉,12R,1,アンドローゼス,85.0,3位,95.0,1位,90.0,2位
小倉,12R,12,シンゼンカガ,90.0,1位,94.0,3位,94.0,1位
