開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
東京,7R,5,スワローシチー,83.0,3位,89.0,3位,92.0,2位
東京,7R,9,タイセイプランセス,89.0,1位,97.0,2位,97.0,1位
東京,8R,12,タマモカンパネラ,74.0,3位,94.0,3位,94.0,3位
東京,8R,15,パイシャオピン,81.0,2位,105.0,1位,105.0,1位
東京,9R,1,ホウオウアートマン,91.0,1位,94.0,3位,94.0,3位
東京,10R,8,トクシースタローン,94.0,1位,100.0,1位,100.0,2位
東京,10R,9,タイセイアディクト,93.0,3位,98.0,2位,98.0,3位
京都,7R,1,オリーボーレン,90.0,1位,90.0,3位,90.0,2位
京都,7R,7,ダイシンビヨンド,86.0,2位,91.0,1位,91.0,1位
京都,9R,3,ゴールドダイアー,82.0,1位,91.0,3位,91.0,2位
京都,10R,9,エールトゥヘヴン,91.0,1位,99.0,2位,99.0,1位
京都,11R,8,メイショウズイウン,97.0,3位,105.0,1位,105.0,1位
