開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
東京,3R,4,コスモラムバック,65.0,1位,68.0,1位,68.0,3位
東京,6R,3,ヴォーカライズ,84.0,1位,91.0,3位,91.0,3位
東京,9R,2,アルゲンテウス,91.0,2位,99.0,1位,99.0,2位
東京,9R,7,ビーオンザカバー,97.0,1位,97.0,3位,100.0,1位
東京,10R,4,メイショウハチロー,93.0,2位,101.0,1位,101.0,1位
東京,10R,5,ベンヌ,97.0,1位,101.0,2位,101.0,2位
東京,12R,13,コーカサスゴールド,90.0,1位,100.0,1位,100.0,1位
京都,2R,11,モズプリフォール,67.0,1位,92.0,2位,58.0,2位
京都,4R,1,アトラクティーボ,1000.0,1位,1000.0,1位,1000.0,1位
京都,4R,2,テイエムエメラルド,1000.0,2位,1000.0,2位,1000.0,2位
京都,5R,9,ビップヴォルフ,78.0,1位,82.0,1位,74.0,1位
京都,7R,1,ルファーダ,72.0,2位,98.0,3位,71.0,2位
京都,8R,6,ジャストビート,69.0,1位,72.0,3位,80.0,3位
京都,9R,9,セクシーマージュ,93.0,1位,100.0,3位,100.0,1位
京都,10R,10,パシアンジャン,98.0,1位,107.0,1位,107.0,2位
京都,12R,2,フェアリーライク,93.0,1位,101.0,1位,101.0,2位
福島,5R,11,ブランニューホーム,66.0,2位,81.0,1位,81.0,1位
福島,6R,13,ユニゾン,70.0,1位,76.0,3位,76.0,3位
福島,6R,14,シンエンドーツダ,68.0,2位,82.0,1位,82.0,1位
福島,11R,6,ワークソング,86.0,3位,95.0,3位,95.0,3位
福島,11R,9,サザンエルフ,88.0,2位,102.0,1位,102.0,1位
