開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
中山,12R,3,ヴァンヴィーヴ,95.0,1位,101.0,1位,95.0,2位
阪神,7R,8,トモジャザーン,83.0,2位,91.0,2位,91.0,1位
阪神,7R,9,ヨリノレジェンド,86.0,1位,91.0,3位,91.0,2位
阪神,8R,1,ワーズワース,94.0,1位,103.0,2位,103.0,2位
阪神,12R,7,コスモグローリー,89.0,2位,94.0,3位,94.0,3位
中京,2R,4,ブリングライト,82.0,2位,97.0,1位,72.0,2位
中京,6R,10,レッドボブ,88.0,1位,89.0,2位,89.0,2位
中京,6R,13,メイショウクーガー,87.0,2位,95.0,1位,95.0,1位
中京,7R,1,ストーンズ,87.0,1位,98.0,1位,98.0,1位
中京,8R,7,エイシンジェンマ,87.0,2位,89.0,3位,89.0,2位
中京,8R,9,コスモレオナルド,87.0,3位,91.0,1位,91.0,1位
中京,11R,6,レディマリオン,102.0,1位,110.0,1位,110.0,1位
中京,12R,1,レッドフェルメール,88.0,2位,99.0,2位,99.0,1位
