開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
東京,1R,3,キタノローズ,60.0,1位,73.0,2位,73.0,2位
東京,1R,5,カーボフリオ,55.0,2位,68.0,3位,68.0,3位
東京,2R,16,キタイノホシ,65.0,3位,73.0,3位,73.0,3位
東京,3R,7,ウインビギニング,81.0,1位,85.0,1位,85.0,1位
東京,4R,16,バンオンタイム,74.0,1位,77.0,3位,81.0,2位
東京,7R,4,タイキブリッツェン,68.0,3位,83.0,3位,85.0,2位
東京,7R,9,フォースミラクル,86.0,1位,91.0,1位,89.0,1位
東京,8R,17,ゴールドシーン,90.0,1位,98.0,1位,96.0,3位
東京,9R,3,クロシェットノエル,91.0,2位,100.0,1位,98.0,3位
東京,9R,7,ビーオンザカバー,96.0,1位,100.0,2位,100.0,1位
東京,12R,12,パイシャオピン,89.0,3位,105.0,1位,105.0,1位
阪神,1R,3,セイフウサツキ,1000.0,3位,1000.0,1位,1000.0,1位
阪神,6R,10,レイワノキセキ,76.0,2位,85.0,3位,79.0,3位
阪神,7R,8,ケイツーリーブル,85.0,1位,93.0,1位,92.0,1位
阪神,8R,7,サリュエ,92.0,1位,99.0,1位,93.0,3位
阪神,9R,6,コスモストーム,93.0,1位,103.0,1位,103.0,1位
阪神,9R,13,ロードオルデン,89.0,2位,99.0,3位,99.0,2位
阪神,10R,6,エバーグルーヴ,90.0,1位,98.0,1位,98.0,2位
阪神,11R,14,サンライズアムール,105.0,1位,114.0,1位,114.0,1位
阪神,12R,7,オーレアミスト,81.0,3位,90.0,3位,90.0,2位
