開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
中山,3R,4,トルネードアイル,78.0,1位,81.0,1位,81.0,1位
中山,4R,12,ハンナパール,74.0,1位,80.0,1位,74.0,1位
中山,8R,6,タケルムサシ,78.0,3位,83.0,3位,83.0,2位
中山,8R,14,ラヴアンドライク,85.0,1位,99.0,1位,99.0,1位
中山,9R,2,キョウエイカンフ,86.0,1位,100.0,2位,100.0,1位
中山,10R,7,ルーフ,91.0,3位,105.0,1位,103.0,1位
中山,12R,5,ルシェロアズーリ,80.0,2位,94.0,1位,86.0,3位
中山,12R,9,カイトグート,79.0,3位,90.0,3位,90.0,1位
阪神,2R,2,アルムアポジェ,75.0,1位,87.0,1位,87.0,1位
阪神,6R,8,アリストクラシア,78.0,2位,92.0,1位,90.0,1位
阪神,6R,9,シュネルアンジュ,84.0,1位,90.0,2位,90.0,2位
阪神,8R,6,バルセシート,90.0,2位,98.0,2位,90.0,3位
阪神,9R,6,アスクチャンスマン,83.0,2位,101.0,2位,101.0,2位
阪神,9R,15,ケイアイアマゾン,82.0,3位,102.0,1位,102.0,1位
阪神,12R,6,ダイシンリンク,87.0,3位,101.0,2位,101.0,2位
札幌,3R,4,シンエンドーツダ,77.0,1位,85.0,1位,80.0,2位
札幌,3R,11,ジャストグレース,69.0,3位,78.0,3位,78.0,3位
札幌,5R,8,デイズインザサン,81.0,3位,89.0,2位,89.0,1位
札幌,5R,10,ゴコウコイコイ,84.0,1位,91.0,1位,89.0,2位
札幌,6R,1,キャンドルマス,74.0,3位,88.0,1位,85.0,3位
札幌,6R,7,レストプレドゥモア,76.0,2位,88.0,2位,86.0,1位
札幌,8R,11,ルールザウェイヴ,89.0,1位,94.0,1位,94.0,1位
札幌,9R,3,ライフゲート,88.0,2位,98.0,2位,97.0,2位
札幌,9R,12,アラナコア,97.0,1位,109.0,1位,97.0,3位
札幌,10R,9,ハヤブササキチャン,91.0,1位,97.0,1位,97.0,2位
札幌,12R,5,グレイスフルマーチ,77.0,3位,95.0,2位,89.0,1位
